PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.82, 0.88, 26.19,0.83728, 0.16408, 0.15785, 0.49712,53.48203,
14.82, 0.87, 26.18,0.85327, 0.15375, 0.14860, 0.47562,53.82743,
14.83, 0.87, 26.18,0.86729, 0.13517, 0.12299, 0.46304,54.17109,
14.86, 0.92, 26.20,-0.83972, -0.09578, -0.04428, -0.53266,54.51584,
14.90, 1.04, 26.21,-0.75140, -0.05978, 0.00620, -0.65710,54.85946,
14.92, 1.11, 26.20,-0.65322, -0.04912, 0.01525, -0.75542,55.20309,
14.93, 1.15, 26.18,-0.56711, -0.05291, 0.00963, -0.82189,55.54801,
14.93, 1.16, 26.19,-0.52630, -0.05267, -0.01041, -0.84861,55.9108,
14.93, 1.17, 26.20,-0.48748, -0.03469, 0.00220, -0.87244,56.24102,
14.93, 1.19, 26.19,-0.43389, -0.03161, 0.00325, -0.90041,56.59204,
14.93, 1.22, 26.19,-0.37042, -0.06026, -0.00812, -0.92687,56.93542,
14.93, 1.24, 26.16,-0.29208, -0.07446, 0.00688, -0.95347,57.28122,
14.93, 1.25, 26.13,-0.23662, -0.06958, 0.00634, -0.96909,57.62452,
14.93, 1.26, 26.11,-0.19735, -0.05686, 0.01275, -0.97860,57.9696,
14.94, 1.27, 26.09,-0.14585, -0.04333, 0.02079, -0.98814,58.31393,
14.95, 1.29, 26.07,-0.10252, -0.02765, 0.00027, -0.99435,58.65795,
14.95, 1.29, 26.07,-0.08997, -0.00034, -0.00873, -0.99591,59.00227,
14.93, 1.29, 26.06,-0.09400, 0.03683, 0.03042, -0.99443,59.34672,
14.91, 1.29, 26.06,-0.10278, 0.11340, 0.09587, -0.98356,59.69104,
14.93, 1.27, 26.07,-0.13788, 0.05738, 0.13270, -0.97984,60.03508,
14.95, 1.26, 26.07,-0.14401, -0.00390, 0.13823, -0.97987,60.37952,
14.93, 1.26, 26.08,-0.14432, 0.06272, 0.15530, -0.97525,60.72064,
14.93, 1.26, 26.08,-0.13403, 0.09690, 0.13316, -0.97720,61.0678,
14.93, 1.26, 26.08,-0.13256, 0.08801, 0.14563, -0.97646,61.41164,
14.93, 1.26, 26.08,-0.14130, 0.08761, 0.14779, -0.97494,61.75592,
14.93, 1.26, 26.08,-0.15094, 0.08419, 0.15514, -0.97266,62.10032,
14.93, 1.25, 26.09,-0.19317, 0.06415, 0.15279, -0.96707,62.44465,
14.94, 1.26, 26.14,-0.26649, 0.02763, 0.15832, -0.95035,62.78873,
14.94, 1.30, 26.18,-0.09908, 0.08097, 0.09459, -0.98726,63.13362,
14.94, 1.36, 26.13,0.10549, 0.09608, 0.04319, -0.98883,63.47813,
14.94, 1.31, 26.11,0.16207, 0.04523, 0.03486, -0.98513,63.82177,
14.95, 1.31, 26.11,0.12080, 0.04535, 0.03366, -0.99107,64.16587,
14.94, 1.31, 26.09,0.09988, 0.03965, 0.02597, -0.99387,64.51063,
14.94, 1.29, 26.08,0.06686, 0.02273, 0.03871, -0.99675,64.85468,
14.94, 1.29, 26.07,0.03416, 0.01808, 0.02844, -0.99885,65.19864,
14.96, 1.28, 26.07,0.00938, -0.00377, 0.01781, -0.99979,65.54383,
14.96, 1.27, 26.07,-0.02185, -0.00269, 0.01201, -0.99969,65.88791,
14.98, 1.27, 26.05,-0.00050, -0.07597, 0.04906, -0.99590,66.23222,
14.97, 1.26, 26.06,-0.01194, -0.08246, 0.05629, -0.99493,66.57688,
14.97, 1.26, 26.07,-0.00955, -0.06832, 0.01636, -0.99748,66.91817,
14.97, 1.26, 26.08,-0.05189, -0.06389, 0.01330, -0.99652,67.26445,
14.97, 1.26, 26.08,-0.05156, -0.05323, 0.01194, -0.99718,67.60841,
14.97, 1.27, 26.09,-0.00459, -0.05344, 0.02948, -0.99813,67.95319,
14.98, 1.29, 26.10,0.02056, -0.04814, 0.01535, -0.99851,68.29736,
14.98, 1.36, 26.10,0.01668, -0.07353, -0.05596, -0.99558,68.642,
14.97, 1.39, 26.15,-0.14505, -0.15282, -0.15975, -0.96441,68.98566,
14.99, 1.29, 26.24,-0.42306, -0.20988, -0.18287, -0.86228,69.33088,
15.02, 1.12, 26.25,-0.53525, -0.19844, -0.11957, -0.81230,69.67527,
15.01, 1.03, 26.19,-0.61459, -0.20424, -0.06584, -0.75910,70.01887,
15.02, 0.99, 26.16,-0.60893, -0.31392, -0.01147, -0.72838,70.36333,
15.02, 0.98, 26.17,-0.65502, -0.33933, -0.02676, -0.67460,70.70692,
15.02, 0.98, 26.17,-0.67347, -0.34109, -0.01931, -0.65554,71.05209,
15.01, 0.98, 26.17,-0.68463, -0.34564, -0.02158, -0.64137,71.39677,
15.00, 0.98, 26.17,-0.68512, -0.35277, -0.00873, -0.63725,71.74065,
15.00, 0.97, 26.17,-0.68849, -0.34951, -0.00472, -0.63546,72.08533,
15.00, 0.97, 26.17,-0.69105, -0.35382, 0.00201, -0.63029,72.42912,
15.01, 0.97, 26.17,-0.68457, -0.34799, -0.00254, -0.64052,72.77328,
15.01, 0.97, 26.17,-0.68695, -0.34511, -0.00407, -0.63952,73.11771,
15.00, 0.97, 26.17,-0.68645, -0.34108, -0.00963, -0.64216,73.46166,
15.01, 0.97, 26.16,-0.68332, -0.34272, 0.00038, -0.64469,73.80597,
15.01, 0.97, 26.16,-0.68741, -0.34563, 0.00702, -0.63871,74.15056,
15.01, 0.97, 26.17,-0.69372, -0.33528, 0.01002, -0.63737,74.49435,
15.01, 0.97, 26.17,-0.69243, -0.34050, 0.00012, -0.63609,74.83889,
15.00, 0.97, 26.20,-0.70088, -0.24725, -0.04356, -0.66764,75.18221,
15.02, 0.99, 26.21,-0.76332, -0.15379, 0.02731, -0.62685,75.52727,
15.02, 1.16, 26.21,-0.66862, -0.08830, 0.02707, -0.73784,75.87097,
15.00, 1.19, 26.18,-0.51678, -0.02988, 0.02428, -0.85525,76.21566,
14.99, 1.25, 26.19,-0.41538, -0.02041, 0.03500, -0.90874,76.55995,
14.99, 1.35, 26.18,-0.27214, -0.02219, 0.03560, -0.96134,76.90433,
14.99, 1.30, 26.19,-0.18498, -0.03001, -0.00574, -0.98227,77.24799,
14.98, 1.29, 26.18,-0.19289, 0.00187, 0.01203, -0.98115,77.59236,
14.97, 1.28, 26.17,-0.16182, 0.02186, 0.03982, -0.98577,77.93765,
14.97, 1.30, 26.13,-0.10492, 0.05965, 0.01092, -0.99263,78.28155,
14.96, 1.32, 26.11,-0.00680, 0.06353, 0.03015, -0.99750,78.62608,
14.95, 1.37, 26.08,0.21111, 0.05180, 0.00439, -0.97608,78.97043,
14.94, 1.35, 26.12,0.17432, 0.04164, 0.00370, -0.98380,79.31396,
14.93, 1.33, 26.14,0.12003, 0.04442, -0.02467, -0.99147,79.65828,
14.93, 1.32, 26.13,0.07913, 0.05014, 0.01853, -0.99543,80.00252,
14.93, 1.28, 26.12,0.00509, 0.05007, 0.01520, -0.99862,80.34727,
14.94, 1.27, 26.12,-0.01811, 0.05428, -0.00106, -0.99836,80.69186,
14.94, 1.26, 26.12,-0.04192, 0.05263, -0.01234, -0.99766,81.03593,
14.94, 1.24, 26.12,-0.06552, 0.06146, -0.03436, -0.99536,81.37983,
14.94, 1.23, 26.14,-0.14065, 0.06632, -0.04574, -0.98678,81.72462,
14.94, 1.22, 26.15,-0.17198, 0.06155, -0.02701, -0.98281,82.06881,
14.94, 1.23, 26.15,-0.14744, 0.04964, -0.00941, -0.98778,82.41298,
14.95, 1.22, 26.14,-0.17466, 0.02614, 0.02902, -0.98385,82.75751,
14.96, 1.21, 26.15,-0.19226, -0.00743, 0.04600, -0.98024,83.10062,
14.94, 1.21, 26.15,-0.17791, 0.00869, 0.05003, -0.98274,83.44559,
14.94, 1.21, 26.16,-0.15997, -0.01906, 0.02006, -0.98673,83.78986,
14.95, 1.21, 26.16,-0.18541, -0.03518, 0.02752, -0.98165,84.13338,
14.95, 1.21, 26.15,-0.20344, -0.03422, 0.01954, -0.97829,84.47765,
14.95, 1.21, 26.15,-0.17935, -0.05547, 0.00018, -0.98222,84.82256,
14.96, 1.22, 26.13,-0.16757, -0.08148, 0.00621, -0.98247,85.16705,
14.96, 1.21, 26.13,-0.16919, -0.06434, 0.00873, -0.98344,85.51178,
14.95, 1.22, 26.11,-0.12450, -0.04655, 0.00427, -0.99112,85.85567,
14.95, 1.21, 26.10,-0.13112, -0.02635, -0.01125, -0.99095,86.19938,
14.96, 1.21, 26.09,-0.13260, -0.01417, -0.01747, -0.99091,86.5433,
14.96, 1.21, 26.10,-0.10740, 0.01395, -0.00311, -0.99411,86.88878,
14.95, 1.21, 26.10,-0.12912, 0.01511, -0.00140, -0.99151,87.23285,
14.95, 1.20, 26.09,-0.18632, 0.00114, 0.00553, -0.98247,87.57743,
14.95, 1.22, 26.10,-0.24666, -0.00670, 0.00049, -0.96908,87.92158,
14.95, 1.22, 26.12,-0.20653, -0.01666, -0.00591, -0.97828,88.26624,
14.95, 1.21, 26.12,-0.19456, -0.02647, -0.01246, -0.98045,88.60982,
14.95, 1.22, 26.13,-0.18600, -0.02246, -0.01308, -0.98221,88.95465,
14.96, 1.22, 26.14,-0.20903, -0.02617, -0.01371, -0.97746,89.29819,
14.95, 1.21, 26.12,-0.24790, -0.02783, -0.01742, -0.96823,89.64246,
14.95, 1.20, 26.13,-0.27339, -0.00440, -0.00211, -0.96189,89.98663,
14.95, 1.20, 26.13,-0.31813, -0.02583, -0.00004, -0.94769,90.33136,
14.95, 1.19, 26.12,-0.35389, -0.01077, 0.00563, -0.93521,90.67561,
14.95, 1.20, 26.12,-0.34315, -0.02818, -0.01103, -0.93879,91.01972,
14.96, 1.21, 26.12,-0.32134, -0.00795, -0.00317, -0.94692,91.36399,
14.96, 1.21, 26.13,-0.31802, -0.00117, 0.00043, -0.94808,91.70892,
14.96, 1.22, 26.12,-0.27745, -0.00091, 0.00804, -0.96071,92.05326,
14.96, 1.25, 26.12,-0.19294, 0.00589, 0.01281, -0.98111,92.39735,
14.97, 1.26, 26.11,-0.17125, 0.00314, 0.00981, -0.98517,92.74131,
14.97, 1.28, 26.11,-0.09805, 0.01149, -0.00571, -0.99510,93.08572,
14.98, 1.28, 26.11,-0.08673, -0.00631, 0.00259, -0.99621,93.42972,
14.98, 1.28, 26.11,-0.07774, 0.00533, -0.00286, -0.99696,93.77422,
14.98, 1.27, 26.10,-0.11608, 0.00495, 0.00619, -0.99321,94.11828,
14.97, 1.28, 26.10,-0.09634, 0.01050, -0.00118, -0.99529,94.4624,
14.97, 1.28, 26.10,-0.06665, 0.01216, 0.00290, -0.99770,94.80671,
14.97, 1.29, 26.09,-0.05834, 0.02042, -0.00132, -0.99809,95.15197,
14.97, 1.28, 26.09,-0.05990, 0.00801, 0.01805, -0.99801,95.49556,
14.96, 1.28, 26.10,-0.05522, 0.04257, 0.00812, -0.99753,95.83981,
14.97, 1.27, 26.11,-0.09604, 0.04354, 0.04055, -0.99360,96.18385,
14.97, 1.27, 26.12,-0.09178, 0.00850, 0.04756, -0.99461,96.52821,
14.97, 1.27, 26.12,-0.08049, 0.01202, 0.03305, -0.99613,96.87238,
14.97, 1.27, 26.11,-0.08768, 0.00253, 0.03597, -0.99550,97.21667,
14.98, 1.27, 26.10,-0.11480, -0.02869, 0.04995, -0.99172,97.56187,
14.98, 1.27, 26.10,-0.11143, -0.02294, 0.02960, -0.99307,97.90508,
14.98, 1.27, 26.10,-0.10994, -0.01150, 0.01248, -0.99379,98.24993,
14.98, 1.27, 26.11,-0.10805, -0.03029, 0.01034, -0.99363,98.59448,
14.98, 1.27, 26.12,-0.11160, -0.02339, -0.00027, -0.99348,98.93822,
14.99, 1.28, 26.12,-0.08975, -0.00908, -0.00881, -0.99588,99.28223,
15.00, 1.27, 26.10,-0.11872, -0.03348, -0.03930, -0.99158,99.62663,
15.00, 1.27, 26.10,-0.13089, 0.02777, 0.00666, -0.99099,99.97085,
14.99, 1.28, 26.09,-0.10297, 0.02170, -0.00986, -0.99440,100.3162,
14.98, 1.28, 26.08,-0.07209, 0.04578, -0.02288, -0.99608,100.6596,
14.97, 1.29, 26.09,-0.04760, 0.17379, 0.02985, -0.98318,101.0039,
14.98, 1.28, 26.09,-0.08276, 0.10651, 0.05879, -0.98912,101.3484,
14.99, 1.28, 26.09,-0.08623, 0.05681, 0.07213, -0.99204,101.6924,
14.98, 1.28, 26.10,-0.07159, 0.07586, 0.03995, -0.99374,102.0367,
14.98, 1.28, 26.10,-0.09068, 0.09808, 0.02421, -0.99074,102.3811,
14.98, 1.27, 26.10,-0.08929, 0.14089, 0.02478, -0.98568,102.7264,
14.98, 1.27, 26.10,-0.10669, 0.09288, 0.05462, -0.98844,103.0696,
14.99, 1.27, 26.10,-0.10597, 0.06391, 0.05893, -0.99056,103.4144,
15.01, 1.27, 26.09,-0.11870, -0.08321, 0.02180, -0.98920,103.7609,
15.02, 1.28, 26.08,-0.10560, -0.09127, 0.02629, -0.98986,104.1033,
15.01, 1.27, 26.09,-0.12131, 0.00811, 0.00694, -0.99256,104.4468,
14.99, 1.27, 26.10,-0.14918, 0.08299, -0.02776, -0.98493,104.7912,
15.00, 1.26, 26.11,-0.16300, 0.04533, -0.01986, -0.98538,105.1355,
14.98, 1.27, 26.11,-0.15990, 0.09561, -0.01004, -0.98244,105.4799,
14.97, 1.26, 26.10,-0.16303, 0.08974, -0.01435, -0.98243,105.8242,
14.97, 1.26, 26.10,-0.16633, 0.09469, -0.02438, -0.98121,106.1683,
14.98, 1.26, 26.10,-0.17143, 0.07544, -0.01856, -0.98213,106.5123,
14.99, 1.26, 26.09,-0.18158, 0.03520, -0.01238, -0.98267,106.8568,
