PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.60, 0.63, 30.28,-0.15828, 0.96355, -0.20362, 0.07106,11.10998,
13.60, 0.63, 30.28,-0.15842, 0.96347, -0.20398, 0.07093,11.45621,
13.60, 0.63, 30.28,-0.15875, 0.96342, -0.20395, 0.07088,11.8029,
13.60, 0.63, 30.28,-0.15862, 0.96336, -0.20434, 0.07089,12.14771,
13.61, 0.63, 30.29,-0.11957, 0.96135, -0.22475, 0.10487,12.49207,
13.61, 0.70, 30.25,-0.06090, 0.95994, -0.24289, 0.12571,12.83452,
13.62, 0.83, 30.15,0.03242, 0.95243, -0.30228, 0.02139,13.18007,
13.66, 0.89, 30.11,0.02067, 0.97515, -0.21848, 0.03024,13.52389,
13.71, 0.93, 30.10,0.00309, 0.96457, -0.25527, -0.06658,13.8682,
13.75, 0.97, 30.09,-0.15286, 0.97795, -0.13399, -0.04797,14.21283,
13.76, 0.99, 30.11,-0.15574, 0.97709, -0.13813, -0.04422,14.55722,
13.70, 0.96, 30.08,-0.07077, 0.98409, -0.16297, 0.00114,14.90282,
13.69, 0.97, 30.04,-0.06183, 0.98450, -0.16138, 0.02976,15.24568,
13.69, 0.99, 29.97,-0.10084, 0.97835, -0.18070, -0.00107,15.59005,
13.73, 1.01, 29.81,-0.19346, 0.93039, -0.20327, -0.23585,15.93446,
13.85, 1.01, 29.46,-0.24534, 0.84582, -0.09409, -0.46427,16.27574,
14.09, 0.99, 29.04,-0.24552, 0.69331, 0.01777, -0.67730,16.62263,
14.30, 0.98, 28.66,-0.20855, 0.45903, 0.14339, -0.85161,16.96694,
14.54, 0.99, 28.30,-0.20961, 0.29622, 0.23275, -0.90230,17.31099,
14.75, 1.02, 27.88,-0.25818, 0.17638, 0.10049, -0.94453,17.65514,
14.98, 1.13, 27.48,-0.27412, 0.11281, -0.05832, -0.95327,17.99926,
15.11, 1.24, 27.02,-0.38373, 0.09187, -0.02821, -0.91843,18.34364,
15.11, 1.26, 26.55,-0.35204, 0.02921, 0.00376, -0.93552,18.6886,
15.12, 1.24, 26.15,-0.34860, 0.03005, -0.03452, -0.93616,19.03252,
15.16, 1.24, 25.90,-0.35511, 0.01102, 0.00813, -0.93472,19.37627,
15.17, 1.23, 25.73,-0.36462, -0.04975, 0.03676, -0.92910,19.72144,
15.17, 1.23, 25.63,-0.36383, -0.04663, 0.01558, -0.93017,20.06583,
15.14, 1.25, 25.58,-0.37564, -0.03651, 0.04751, -0.92483,20.40947,
15.13, 1.34, 25.50,-0.38468, -0.04350, 0.05546, -0.92036,20.75366,
15.13, 1.43, 25.40,-0.42171, -0.07708, 0.02066, -0.90321,21.09727,
15.13, 1.47, 25.32,-0.29551, -0.06697, 0.01396, -0.95289,21.44267,
15.13, 1.49, 25.29,-0.20085, -0.05782, 0.01770, -0.97775,21.78685,
15.13, 1.50, 25.24,-0.14721, -0.05868, 0.00365, -0.98736,22.13032,
15.13, 1.51, 25.22,-0.15842, -0.02203, -0.01659, -0.98699,22.47546,
15.13, 1.54, 25.22,-0.18506, 0.01235, -0.02153, -0.98241,22.81964,
15.12, 1.54, 25.20,-0.18050, 0.02687, -0.04704, -0.98208,23.16497,
15.12, 1.53, 25.16,-0.10300, 0.03135, -0.03373, -0.99362,23.50738,
15.13, 1.53, 25.15,-0.05234, 0.01307, -0.02369, -0.99826,23.85198,
15.14, 1.53, 25.14,-0.04168, 0.01617, 0.00985, -0.99895,24.19583,
15.15, 1.53, 25.13,-0.04194, 0.00954, 0.00676, -0.99905,24.54016,
15.14, 1.54, 25.12,-0.02390, 0.04891, -0.00577, -0.99850,24.88501,
15.15, 1.54, 25.12,-0.02773, 0.02408, -0.00280, -0.99932,25.23009,
15.16, 1.54, 25.12,-0.03630, 0.01993, -0.00509, -0.99913,25.57296,
15.16, 1.54, 25.11,-0.03581, 0.02139, -0.00612, -0.99911,25.91777,
15.16, 1.54, 25.12,-0.03637, 0.00719, -0.01335, -0.99922,26.26183,
15.16, 1.54, 25.14,-0.03173, 0.00228, -0.03777, -0.99878,26.60577,
15.16, 1.53, 25.13,-0.11681, -0.01340, 0.01109, -0.99300,26.95047,
15.16, 1.53, 25.11,-0.10152, -0.00376, 0.01795, -0.99466,27.29527,
15.15, 1.54, 25.10,-0.06794, -0.01335, -0.01917, -0.99742,27.63876,
15.16, 1.54, 25.10,-0.08096, -0.05082, 0.01302, -0.99534,27.98438,
15.16, 1.54, 25.09,-0.06122, -0.06083, 0.01336, -0.99618,28.32669,
15.17, 1.54, 25.09,-0.07507, -0.06182, 0.00295, -0.99526,28.67035,
15.16, 1.54, 25.07,-0.06113, -0.05746, 0.01084, -0.99642,29.01599,
15.18, 1.54, 25.09,-0.07528, -0.08331, 0.01863, -0.99350,29.3605,
15.17, 1.53, 25.09,-0.11962, -0.07019, 0.00991, -0.99029,29.70452,
15.18, 1.52, 25.11,-0.13286, -0.08207, 0.02068, -0.98751,30.04964,
15.18, 1.52, 25.11,-0.16102, -0.09266, 0.01491, -0.98248,30.39434,
15.16, 1.52, 25.10,-0.14020, -0.01296, 0.00429, -0.99003,30.73808,
15.16, 1.53, 25.09,-0.10975, 0.02148, 0.00190, -0.99373,31.08102,
15.15, 1.53, 25.07,-0.09473, 0.04241, 0.01703, -0.99445,31.42559,
15.15, 1.54, 25.06,-0.07130, 0.01080, 0.00371, -0.99739,31.77747,
15.15, 1.54, 25.05,-0.03830, 0.00613, -0.01722, -0.99910,32.11518,
15.15, 1.54, 25.05,-0.03346, 0.02294, -0.01718, -0.99903,32.45881,
15.15, 1.54, 25.05,-0.03261, 0.02076, -0.02160, -0.99902,32.80353,
15.16, 1.54, 25.06,-0.03747, 0.02690, -0.02512, -0.99862,33.14689,
15.16, 1.54, 25.06,-0.05071, 0.00256, -0.00916, -0.99867,33.49096,
15.17, 1.55, 25.07,-0.04205, -0.01311, 0.00389, -0.99902,33.83601,
15.16, 1.54, 25.07,-0.00879, -0.01535, -0.01794, -0.99968,34.17994,
15.16, 1.54, 25.07,0.01609, -0.01539, -0.01710, -0.99961,34.52394,
15.17, 1.54, 25.07,-0.03717, -0.01889, -0.01761, -0.99898,34.86877,
15.17, 1.54, 25.08,-0.06326, -0.02108, -0.01799, -0.99761,35.21291,
15.16, 1.54, 25.07,-0.05739, 0.00037, -0.02586, -0.99802,35.55384,
15.14, 1.52, 25.07,-0.13888, 0.07584, -0.01918, -0.98721,35.90051,
15.15, 1.53, 25.07,-0.10756, 0.05703, -0.01510, -0.99245,36.24628,
15.15, 1.53, 25.05,-0.10351, 0.03927, -0.00984, -0.99380,36.58992,
15.15, 1.53, 25.04,-0.09930, 0.02917, -0.01365, -0.99454,36.93383,
15.15, 1.53, 25.04,-0.08508, 0.01986, -0.01320, -0.99609,37.28,
15.15, 1.53, 25.05,-0.08616, 0.01190, -0.01218, -0.99614,37.62383,
15.15, 1.53, 25.06,-0.08746, 0.01091, -0.01046, -0.99605,37.96868,
15.15, 1.53, 25.07,-0.08672, 0.01093, -0.01528, -0.99606,38.3126,
15.15, 1.53, 25.07,-0.08392, 0.00943, -0.01465, -0.99632,38.65646,
15.15, 1.53, 25.07,-0.09029, 0.00675, -0.01026, -0.99584,39.001,
15.15, 1.53, 25.06,-0.09774, 0.00062, -0.00866, -0.99517,39.34483,
15.15, 1.53, 25.07,-0.07959, -0.01780, -0.01164, -0.99660,39.68971,
