PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.88, 1.63, 25.04,-0.02960, 0.95867, -0.12053, -0.25603,9.351826,
14.87, 1.60, 25.04,-0.05872, 0.94053, -0.23512, -0.23807,9.700515,
14.88, 1.59, 25.02,-0.05655, 0.94257, -0.27170, -0.18586,10.04472,
14.93, 1.60, 25.00,-0.02378, 0.97836, -0.20513, 0.01277,10.38899,
14.98, 1.62, 25.01,0.02642, 0.96952, -0.14549, 0.19536,10.73426,
15.01, 1.63, 25.04,0.03995, 0.93548, -0.08209, 0.34139,11.07695,
14.96, 1.64, 25.02,0.01528, 0.98888, -0.08285, 0.12257,11.42896,
14.87, 1.64, 25.02,0.00223, 0.94371, -0.07983, -0.32100,11.77799,
14.84, 1.63, 25.03,-0.03616, 0.87706, -0.07966, -0.47234,12.12084,
14.82, 1.62, 25.12,-0.08356, 0.50790, -0.02191, -0.85708,12.46144,
14.91, 1.63, 25.08,-0.03393, 0.06458, 0.04203, -0.99645,12.8075,
15.00, 1.63, 25.06,-0.03226, -0.15091, 0.04680, -0.98691,13.15459,
15.09, 1.64, 25.03,0.00738, -0.40497, 0.06874, -0.91171,13.49828,
15.08, 1.64, 25.04,-0.00717, -0.37858, 0.06601, -0.92318,13.84296,
14.95, 1.65, 25.04,-0.00828, 0.21446, -0.01146, -0.97663,14.18606,
14.88, 1.63, 24.97,-0.03615, 0.47056, -0.05966, -0.87960,14.53026,
14.85, 1.59, 25.00,-0.21169, 0.37340, -0.10301, -0.89730,14.87464,
14.81, 1.57, 25.13,-0.23547, 0.36386, -0.08868, -0.89683,15.21882,
14.81, 1.58, 25.33,-0.23549, 0.32317, -0.06313, -0.91440,15.56389,
14.69, 1.60, 25.43,-0.19807, 0.35316, -0.06186, -0.91226,15.91025,
14.47, 1.60, 25.52,-0.15975, 0.34061, -0.05981, -0.92460,16.25353,
14.32, 1.62, 25.64,-0.13066, 0.31296, -0.04472, -0.93967,16.59618,
14.21, 1.60, 25.85,-0.13873, 0.33110, -0.02766, -0.93293,16.94064,
14.05, 1.62, 26.00,-0.11012, 0.31504, -0.02706, -0.94228,17.28643,
13.83, 1.61, 26.14,-0.11052, 0.21543, -0.02707, -0.96987,17.63057,
13.70, 1.61, 26.30,-0.10302, 0.14089, -0.00071, -0.98465,17.97441,
13.59, 1.61, 26.52,-0.10752, 0.07487, 0.03638, -0.99071,18.31867,
13.45, 1.62, 26.67,-0.08395, 0.00309, 0.04618, -0.99539,18.6637,
13.42, 1.62, 26.88,-0.08047, -0.03929, 0.03793, -0.99526,19.01749,
13.48, 1.62, 27.15,-0.09633, -0.02184, 0.05955, -0.99333,19.36255,
13.47, 1.62, 27.37,-0.08278, -0.01062, 0.04792, -0.99536,19.7062,
13.45, 1.61, 27.63,-0.08669, -0.09663, 0.04559, -0.99049,20.05043,
13.50, 1.62, 27.83,-0.10876, -0.13771, 0.05703, -0.98283,20.39553,
13.52, 1.62, 27.99,-0.12279, -0.21966, 0.07319, -0.96505,20.73671,
13.51, 1.60, 28.18,-0.10098, -0.47974, 0.09331, -0.86657,21.08224,
13.50, 1.61, 28.31,-0.10740, -0.60922, 0.10351, -0.77885,21.42875,
13.56, 1.60, 28.37,-0.10954, -0.72479, 0.13100, -0.66748,21.77276,
13.70, 1.59, 28.40,-0.08732, -0.76262, 0.16900, -0.61824,22.11401,
13.82, 1.60, 28.39,-0.07322, -0.84393, 0.17798, -0.50074,22.45997,
13.93, 1.59, 28.39,0.02682, 0.93432, -0.16228, 0.31622,22.80596,
14.10, 1.60, 28.41,0.01274, 0.97212, -0.17698, 0.15329,23.15011,
14.18, 1.60, 28.33,-0.02942, 0.98012, -0.16845, 0.10059,23.4945,
14.22, 1.59, 28.13,-0.05953, 0.97636, -0.17496, 0.11207,23.8385,
14.26, 1.62, 27.96,-0.04250, 0.98624, -0.12591, 0.09837,24.18227,
14.35, 1.60, 27.72,-0.02738, 0.98734, -0.12848, 0.08890,24.5265,
14.40, 1.62, 27.48,-0.00114, 0.97565, -0.12734, 0.17860,24.87254,
14.38, 1.60, 27.23,0.00594, 0.88112, -0.12050, 0.45724,25.21485,
14.39, 1.62, 27.01,-0.04006, -0.78478, 0.13502, -0.60357,25.55945,
14.54, 1.60, 26.87,-0.05556, -0.73124, 0.09201, -0.67360,25.90318,
14.70, 1.63, 26.77,-0.05386, -0.60410, 0.04597, -0.79376,26.24815,
14.88, 1.62, 26.64,-0.02297, -0.50947, 0.03017, -0.85965,26.5922,
15.05, 1.64, 26.61,-0.05385, -0.47714, 0.03616, -0.87643,26.93692,
