PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.95, 1.75, 24.94,-0.01856, 0.93032, -0.02529, -0.36540,11.56219,
14.96, 1.74, 24.94,-0.01691, 0.92366, -0.03373, -0.38135,11.91112,
14.97, 1.74, 24.94,-0.01539, 0.92595, -0.02782, -0.37631,12.25511,
14.95, 1.73, 24.90,-0.03924, 0.91938, -0.03354, -0.38997,12.6,
14.76, 1.71, 24.80,-0.06197, 0.92116, -0.04511, -0.38157,12.94446,
14.56, 1.73, 24.65,-0.05815, 0.91741, -0.06404, -0.38842,13.28885,
14.40, 1.72, 24.44,-0.04430, 0.90441, -0.05692, -0.42052,13.63157,
14.22, 1.73, 24.22,-0.05908, 0.88854, -0.06070, -0.45092,13.97688,
13.98, 1.73, 24.04,-0.06617, 0.87817, -0.04966, -0.47114,14.32149,
13.78, 1.73, 23.86,-0.06591, 0.85581, -0.04051, -0.51147,14.66534,
13.59, 1.73, 23.64,-0.06020, 0.78587, -0.04108, -0.61408,15.00928,
13.35, 1.72, 23.52,-0.07681, 0.72125, -0.02314, -0.68802,15.35229,
13.05, 1.73, 23.49,-0.07791, 0.66322, -0.00647, -0.74433,15.69777,
12.75, 1.73, 23.46,-0.08242, 0.63735, -0.01825, -0.76594,16.04244,
12.45, 1.74, 23.43,-0.08182, 0.59421, -0.03691, -0.79929,16.38565,
12.20, 1.72, 23.48,-0.10042, 0.53738, -0.02572, -0.83695,16.72664,
11.97, 1.74, 23.56,-0.11679, 0.46636, -0.01993, -0.87662,17.07136,
11.78, 1.73, 23.62,-0.10971, 0.29782, 0.00366, -0.94829,17.42009,
11.67, 1.73, 23.72,-0.12100, -0.11091, 0.06307, -0.98442,17.76367,
11.67, 1.70, 23.87,-0.10564, -0.33321, 0.08778, -0.93280,18.10863,
11.75, 1.72, 24.03,-0.10505, -0.48119, 0.12394, -0.86143,18.45291,
11.88, 1.71, 24.18,-0.11368, -0.56828, 0.13322, -0.80398,18.79638,
12.07, 1.72, 24.31,-0.11521, -0.58628, 0.12783, -0.79162,19.14046,
12.35, 1.70, 24.36,-0.10579, -0.51026, 0.10255, -0.84730,19.48492,
12.65, 1.73, 24.42,-0.11577, -0.39310, 0.06685, -0.90973,19.83028,
12.90, 1.71, 24.59,-0.13774, -0.23114, 0.03982, -0.96230,20.17426,
13.07, 1.72, 24.77,-0.11499, 0.03800, 0.01203, -0.99257,20.51847,
13.22, 1.74, 24.97,-0.09248, 0.15506, -0.00447, -0.98356,20.86209,
13.20, 1.72, 25.22,-0.10317, 0.19700, -0.01564, -0.97483,21.20585,
13.05, 1.73, 25.47,-0.11931, 0.20400, -0.02801, -0.97127,21.55052,
12.92, 1.71, 25.70,-0.12566, 0.20925, -0.01881, -0.96957,21.8953,
12.77, 1.73, 25.90,-0.12591, 0.19883, -0.00910, -0.97187,22.23888,
12.60, 1.72, 26.01,-0.13519, 0.16595, -0.00563, -0.97681,22.58329,
12.45, 1.73, 26.11,-0.16123, 0.13277, -0.00628, -0.97792,22.92733,
12.39, 1.72, 26.22,-0.16446, 0.12407, 0.00041, -0.97855,23.27213,
12.38, 1.73, 26.36,-0.16817, 0.12662, 0.00283, -0.97759,23.61641,
12.33, 1.73, 26.45,-0.18384, 0.10456, 0.00621, -0.97736,23.96032,
12.25, 1.73, 26.48,-0.17754, 0.08447, 0.01495, -0.98037,24.30158,
12.22, 1.73, 26.49,-0.17163, 0.08112, 0.00573, -0.98180,24.6491,
12.23, 1.73, 26.50,-0.17027, 0.07351, 0.00620, -0.98263,24.99322,
12.24, 1.73, 26.50,-0.16712, 0.07219, 0.01160, -0.98322,25.46431,
12.22, 1.73, 26.51,-0.15821, 0.07112, 0.01411, -0.98474,25.94914,
12.22, 1.73, 26.52,-0.16348, 0.06320, 0.01269, -0.98444,26.29302,
12.22, 1.73, 26.53,-0.16560, 0.06746, 0.00921, -0.98384,26.63694,
12.22, 1.73, 26.54,-0.16916, 0.06593, 0.00747, -0.98335,26.98132,
12.22, 1.73, 26.54,-0.17079, 0.06580, 0.00637, -0.98309,27.32578,
12.22, 1.73, 26.54,-0.17104, 0.06541, 0.00597, -0.98307,27.67104,
12.22, 1.73, 26.54,-0.17367, 0.06303, 0.00481, -0.98277,28.01428,
12.22, 1.73, 26.54,-0.17370, 0.06266, 0.00646, -0.98278,28.35859,
12.21, 1.72, 26.53,-0.17453, 0.06962, 0.00060, -0.98219,28.7028,
12.20, 1.72, 26.54,-0.18197, 0.07020, -0.00223, -0.98079,29.04392,
12.21, 1.72, 26.53,-0.18064, 0.06953, -0.00129, -0.98109,29.39235,
12.21, 1.72, 26.53,-0.17896, 0.06743, 0.00090, -0.98154,29.73231,
12.21, 1.72, 26.53,-0.17701, 0.06568, 0.00238, -0.98201,30.08041,
12.21, 1.72, 26.53,-0.17261, 0.06283, 0.00270, -0.98298,30.42486,
12.20, 1.73, 26.54,-0.16269, 0.06458, 0.01103, -0.98450,30.76974,
12.20, 1.73, 26.54,-0.15969, 0.06926, 0.01061, -0.98468,31.11325,
12.20, 1.73, 26.55,-0.16511, 0.05876, 0.01284, -0.98444,31.45647,
12.20, 1.73, 26.55,-0.17052, 0.06033, 0.01262, -0.98343,31.80167,
12.21, 1.73, 26.55,-0.17089, 0.06245, 0.00982, -0.98326,32.14528,
