PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.00, 1.66, 25.02,-0.05606, 0.93871, -0.20212, -0.27355,10.27696,
15.00, 1.67, 25.02,-0.04747, 0.94112, -0.19759, -0.27020,10.62203,
15.00, 1.67, 25.03,-0.04062, 0.95093, -0.16126, -0.26092,10.96602,
15.01, 1.68, 25.04,-0.02802, 0.96295, -0.12506, -0.23726,11.31077,
15.02, 1.69, 25.03,-0.01533, 0.97723, -0.08721, -0.19282,11.65492,
15.06, 1.69, 25.03,0.02062, 0.99612, -0.08350, -0.01887,11.99949,
15.13, 1.69, 25.05,0.06888, 0.94374, -0.09382, 0.30954,12.34338,
15.12, 1.69, 25.04,0.05117, 0.95319, -0.07932, 0.28724,12.68466,
15.06, 1.71, 25.02,0.01424, 0.99879, -0.01401, 0.04504,13.02763,
15.01, 1.70, 25.01,-0.02769, 0.98689, -0.07475, -0.14035,13.37359,
14.99, 1.63, 24.98,-0.07367, 0.93442, -0.31053, -0.15814,13.71954,
14.96, 1.60, 24.96,-0.09582, 0.89328, -0.36241, -0.24807,14.06484,
14.91, 1.66, 25.03,-0.13450, 0.82912, -0.13602, -0.52533,14.40904,
14.93, 1.71, 25.09,-0.09593, 0.76213, 0.07385, -0.63601,14.75335,
14.94, 1.71, 25.08,-0.05842, 0.76800, 0.07940, -0.63282,15.09751,
14.93, 1.71, 25.06,-0.05862, 0.76301, 0.04388, -0.64223,15.44227,
14.93, 1.71, 25.05,-0.05358, 0.79311, 0.01776, -0.60646,15.78611,
14.95, 1.69, 25.01,-0.06233, 0.89610, -0.08678, -0.43080,16.13073,
14.97, 1.68, 24.99,-0.05826, 0.95753, -0.11408, -0.25832,16.47496,
14.98, 1.68, 24.99,-0.05073, 0.97808, -0.14273, -0.14289,16.81894,
14.99, 1.66, 25.00,-0.04103, 0.96777, -0.23231, -0.08821,17.16492,
15.00, 1.62, 24.99,-0.02420, 0.94297, -0.33196, 0.00470,17.50781,
15.01, 1.58, 24.98,-0.00076, 0.87770, -0.46707, 0.10719,17.85254,
15.03, 1.55, 24.96,0.02566, 0.83600, -0.53216, 0.13135,18.19647,
15.04, 1.55, 24.95,0.03753, 0.85194, -0.51098, 0.10813,18.54066,
15.03, 1.57, 24.95,0.01896, 0.88060, -0.46994, 0.05784,18.88475,
15.03, 1.58, 24.95,-0.00579, 0.89181, -0.45232, -0.00705,19.22889,
15.02, 1.56, 24.94,-0.04592, 0.86689, -0.48950, -0.08238,19.57397,
15.01, 1.52, 24.94,-0.09186, 0.79680, -0.58168, -0.13532,19.91742,
15.02, 1.52, 24.94,-0.09649, 0.79296, -0.58471, -0.14149,20.26214,
15.04, 1.54, 24.94,-0.05620, 0.83986, -0.53348, -0.08294,20.60623,
15.13, 1.58, 24.94,0.02846, 0.88300, -0.43896, 0.16373,20.95048,
15.21, 1.60, 24.96,0.10164, 0.83263, -0.36840, 0.40085,21.29473,
15.22, 1.62, 24.97,-0.17492, -0.67885, 0.28824, -0.65229,21.63908,
15.20, 1.61, 25.02,-0.22936, -0.41499, 0.25153, -0.84375,21.98322,
15.15, 1.62, 25.12,-0.25930, -0.25776, 0.14475, -0.91944,22.32697,
15.14, 1.62, 25.22,-0.27581, -0.20025, 0.10169, -0.93461,22.67221,
15.17, 1.62, 25.22,-0.31580, -0.18765, 0.08240, -0.92643,23.01612,
15.21, 1.62, 25.17,-0.31566, -0.21650, 0.09012, -0.91944,23.36335,
15.25, 1.61, 25.13,-0.32511, -0.23957, 0.11628, -0.90741,23.70366,
15.26, 1.60, 25.12,-0.33562, -0.24694, 0.13460, -0.89903,24.0484,
15.22, 1.64, 25.14,-0.25479, -0.19757, 0.08466, -0.94281,24.3922,
15.16, 1.68, 25.14,-0.11490, -0.16071, -0.00175, -0.98029,24.73761,
15.17, 1.68, 25.15,-0.11867, -0.24541, 0.01750, -0.96197,25.08138,
15.18, 1.69, 25.16,-0.10231, -0.33830, 0.02681, -0.93508,25.42608,
15.19, 1.68, 25.16,-0.12148, -0.41004, 0.04628, -0.90276,25.77065,
15.19, 1.65, 25.20,-0.21201, -0.38735, 0.08941, -0.89276,26.11491,
15.21, 1.63, 25.28,-0.27252, -0.37235, 0.11730, -0.87939,26.45904,
15.31, 1.61, 25.38,-0.28002, -0.37255, 0.13186, -0.87488,26.80361,
15.50, 1.63, 25.49,-0.22572, -0.36924, 0.16256, -0.88673,27.14794,
15.63, 1.63, 25.65,-0.22798, -0.38081, 0.13155, -0.88640,27.49205,
15.77, 1.65, 25.87,-0.19219, -0.43352, 0.10767, -0.87380,27.83591,
15.95, 1.64, 26.07,-0.20558, -0.46191, 0.12276, -0.85399,28.18363,
16.18, 1.64, 26.22,-0.18074, -0.48033, 0.14942, -0.84515,28.5217,
16.35, 1.64, 26.40,-0.18934, -0.52857, 0.13111, -0.81705,28.86925,
16.54, 1.65, 26.58,-0.18407, -0.63970, 0.14016, -0.73298,29.21355,
16.75, 1.63, 26.63,-0.18538, -0.70247, 0.17367, -0.66484,29.55311,
17.03, 1.64, 26.61,-0.12775, -0.70560, 0.18858, -0.67101,29.8996,
17.29, 1.63, 26.64,-0.15309, -0.72479, 0.17859, -0.64757,30.24598,
17.58, 1.65, 26.70,-0.16109, -0.75557, 0.15969, -0.61454,30.59046,
17.85, 1.63, 26.68,-0.13878, -0.79267, 0.16321, -0.57078,30.93363,
18.10, 1.65, 26.61,0.09436, 0.86983, -0.18137, 0.44900,31.279,
18.32, 1.64, 26.55,0.02534, 0.96151, -0.20169, 0.18487,31.62243,
18.44, 1.65, 26.47,-0.01454, 0.96457, -0.22865, -0.13082,31.96769,
18.45, 1.63, 26.31,-0.06503, 0.94368, -0.21158, -0.24593,32.31226,
18.44, 1.65, 26.13,-0.07280, 0.88479, -0.18440, -0.42171,32.67333,
18.43, 1.65, 25.94,-0.12944, 0.76758, -0.15718, -0.60775,33.03014,
18.34, 1.65, 25.79,-0.15519, 0.70633, -0.15350, -0.67338,33.38358,
18.12, 1.63, 25.74,-0.16663, 0.69810, -0.13372, -0.68338,33.71983,
17.87, 1.65, 25.72,-0.16210, 0.69703, -0.12734, -0.68678,34.06673,
17.59, 1.65, 25.62,-0.15407, 0.71662, -0.12551, -0.66855,34.41096,
17.33, 1.66, 25.57,-0.14956, 0.76616, -0.12561, -0.61225,34.75403,
17.08, 1.65, 25.53,-0.10254, 0.91917, -0.15564, -0.34698,35.09836,
16.95, 1.65, 25.42,-0.05567, 0.98686, -0.15142, -0.00847,35.44324,
16.86, 1.66, 25.23,-0.00430, 0.98276, -0.13577, 0.12543,35.78509,
