PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.69, 1.61, 24.73,-0.10845, 0.90987, -0.10926, -0.38529,12.80243,
14.57, 1.61, 24.60,-0.11539, 0.90195, -0.12807, -0.39593,13.1489,
14.55, 1.61, 24.59,-0.11263, 0.90237, -0.13957, -0.39187,13.49397,
14.50, 1.61, 24.58,-0.12796, 0.89965, -0.13998, -0.39328,13.8382,
14.49, 1.60, 24.58,-0.13417, 0.89608, -0.14345, -0.39808,14.18244,
14.49, 1.60, 24.58,-0.12613, 0.89414, -0.15296, -0.40152,14.52776,
14.49, 1.60, 24.59,-0.13217, 0.89583, -0.15294, -0.39576,14.87255,
14.51, 1.58, 24.57,-0.10164, 0.89920, -0.13630, -0.40315,15.21667,
14.33, 1.52, 24.27,-0.08174, 0.87517, -0.14507, -0.45425,15.56011,
13.69, 1.67, 23.77,-0.04364, 0.87259, -0.02091, -0.48605,16.0872,
13.19, 1.67, 23.53,-0.11249, 0.71985, -0.07890, -0.68039,16.44273,
12.65, 1.66, 23.57,-0.11974, 0.58132, 0.03476, -0.80407,16.83146,
12.15, 1.71, 23.56,-0.11231, 0.55611, 0.01935, -0.82326,17.17604,
11.74, 1.68, 23.77,-0.17192, 0.32510, -0.01524, -0.92980,17.52739,
11.67, 1.65, 24.10,-0.20979, -0.20825, 0.09500, -0.95058,17.8683,
11.85, 1.63, 24.29,-0.21147, -0.54799, 0.13779, -0.79750,18.21169,
12.24, 1.64, 24.33,-0.09536, -0.59520, 0.15455, -0.78279,18.55897,
12.67, 1.67, 24.48,-0.06993, -0.54298, 0.04716, -0.83550,18.90212,
13.03, 1.70, 24.69,-0.06118, -0.28709, 0.05483, -0.95437,19.24713,
13.16, 1.65, 25.10,-0.12604, 0.08038, 0.01629, -0.98863,19.59148,
13.06, 1.65, 25.55,-0.09384, 0.24083, -0.01944, -0.96582,19.93632,
12.89, 1.64, 25.96,-0.13333, 0.22904, -0.02038, -0.96403,20.28073,
12.60, 1.66, 26.23,-0.17207, 0.18002, -0.01968, -0.96829,20.62006,
12.39, 1.69, 26.45,-0.18924, 0.14382, 0.00439, -0.97133,20.96601,
12.22, 1.70, 26.59,-0.19081, 0.11197, 0.02990, -0.97476,21.33957,
12.06, 1.70, 26.61,-0.18694, -0.00387, 0.03209, -0.98184,21.68855,
