PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.14, 1.65, 24.12,0.01309, 0.98177, -0.03106, -0.18707,14.01927,
15.19, 1.67, 24.12,0.02075, 0.99895, 0.02419, -0.03298,14.36175,
15.25, 1.65, 24.10,0.02405, 0.98228, -0.04764, 0.17967,14.71331,
15.27, 1.63, 24.06,-0.00784, 0.98940, -0.14325, 0.02245,15.06212,
15.27, 1.62, 24.02,-0.03923, 0.95665, -0.16949, -0.23359,15.40703,
15.22, 1.64, 23.94,-0.00415, 0.94695, -0.07618, -0.31220,15.751,
15.07, 1.65, 23.79,-0.00817, 0.92303, -0.01563, -0.38432,16.0961,
14.90, 1.68, 23.60,0.01376, 0.92127, 0.04683, -0.38586,16.4398,
14.71, 1.64, 23.33,-0.00998, 0.88450, -0.01066, -0.46631,16.7802,
14.50, 1.65, 23.06,-0.01210, 0.89787, -0.00781, -0.44002,17.12539,
14.22, 1.67, 22.83,-0.00515, 0.90258, 0.03141, -0.42935,17.47606,
13.95, 1.63, 22.61,-0.05088, 0.81911, -0.04963, -0.56922,17.82619,
13.69, 1.66, 22.43,-0.06989, 0.75978, -0.07457, -0.64210,18.17194,
13.48, 1.64, 22.37,-0.06424, 0.78010, -0.09903, -0.61442,18.51157,
13.36, 1.65, 22.33,-0.08001, 0.77936, -0.11522, -0.61068,18.85609,
13.34, 1.65, 22.28,-0.10807, 0.75131, -0.12725, -0.63849,19.20642,
13.36, 1.64, 22.22,-0.11654, 0.72846, -0.13483, -0.66150,19.54967,
13.38, 1.67, 22.17,-0.03505, 0.78671, -0.06065, -0.61334,19.89453,
13.40, 1.66, 22.13,-0.05700, 0.84319, -0.09241, -0.52655,20.23801,
13.38, 1.65, 22.16,-0.10019, 0.84140, -0.13077, -0.51469,20.58137,
13.34, 1.64, 22.23,-0.12783, 0.83107, -0.14127, -0.52252,20.92087,
13.33, 1.64, 22.26,-0.13490, 0.84113, -0.12275, -0.50915,21.27751,
13.33, 1.65, 22.25,-0.12192, 0.84622, -0.10410, -0.50814,21.6232,
13.33, 1.65, 22.24,-0.10240, 0.86940, -0.11111, -0.47043,21.97259,
13.34, 1.65, 22.24,-0.07691, 0.91276, -0.11920, -0.38307,22.31506,
13.43, 1.66, 22.22,-0.03563, 0.99086, -0.12119, -0.04722,22.65959,
13.64, 1.66, 22.27,0.02000, 0.96083, -0.10823, 0.25436,23.00397,
13.88, 1.66, 22.36,0.03525, 0.86278, -0.07972, 0.49802,23.38707,
14.06, 1.65, 22.44,-0.08762, -0.60880, 0.06278, -0.78597,23.75541,
14.18, 1.66, 22.52,-0.11836, -0.35874, 0.02887, -0.92545,24.10361,
14.33, 1.63, 22.72,-0.09079, -0.31957, 0.03119, -0.94269,24.445,
14.49, 1.64, 22.90,-0.11379, -0.42198, 0.05800, -0.89756,24.78765,
14.77, 1.63, 23.12,-0.05985, -0.57300, 0.05982, -0.81518,25.1729,
15.08, 1.63, 23.30,-0.02434, -0.82660, 0.07256, -0.55755,25.64734,
15.37, 1.63, 23.29,0.03350, 0.91228, -0.05002, 0.40511,26.10681,
15.64, 1.70, 23.32,0.05093, -0.56302, -0.06032, -0.82267,26.50791,
15.86, 1.65, 23.51,-0.04499, -0.46238, 0.00539, -0.88552,26.96202,
16.27, 1.64, 23.97,-0.14531, -0.07546, -0.00033, -0.98651,27.71783,
16.36, 1.62, 24.19,-0.13354, 0.08535, -0.02984, -0.98691,28.07586,
16.39, 1.63, 24.39,-0.15381, 0.24063, -0.06644, -0.95605,28.42091,
16.43, 1.62, 24.51,-0.14879, 0.56344, -0.13594, -0.80120,28.76794,
16.53, 1.62, 24.57,-0.14422, 0.76368, -0.19198, -0.59928,29.10864,
16.58, 1.59, 24.58,-0.12802, 0.74941, -0.21931, -0.61148,29.45465,
16.41, 1.57, 24.60,-0.14138, 0.75175, -0.18013, -0.61842,29.80023,
16.10, 1.58, 24.67,-0.18301, 0.70250, -0.22884, -0.64856,30.14248,
15.86, 1.57, 24.68,-0.16798, 0.68108, -0.23213, -0.67382,30.4891,
15.63, 1.61, 24.66,-0.12536, 0.69561, -0.20341, -0.67753,30.83354,
15.43, 1.55, 24.74,-0.22684, 0.65870, -0.27248, -0.66364,31.17545,
15.17, 1.56, 24.85,-0.22231, 0.68597, -0.31502, -0.61708,31.51955,
15.07, 1.57, 24.89,-0.16427, 0.77628, -0.29895, -0.53012,31.86689,
15.13, 1.58, 24.92,-0.11285, 0.83011, -0.26488, -0.47752,32.20949,
15.18, 1.58, 24.95,-0.09245, 0.86429, -0.27098, -0.41355,32.55329,
15.18, 1.60, 24.96,-0.06555, 0.89579, -0.19757, -0.39273,32.89782,
15.16, 1.63, 24.95,0.00624, 0.91610, -0.09173, -0.39026,33.24233,
15.18, 1.64, 24.92,0.01905, 0.96731, -0.03145, -0.25091,33.58658,
15.25, 1.62, 24.89,0.01709, 0.97226, -0.06554, 0.22386,33.93132,
14.99, 1.61, 24.83,0.02268, 0.97696, -0.05990, -0.20359,34.27496,
14.73, 1.63, 24.70,-0.01389, 0.91078, -0.12342, -0.39378,34.62115,
14.51, 1.60, 24.44,-0.03216, 0.89208, -0.13890, -0.42879,34.96377,
14.28, 1.62, 24.20,-0.03675, 0.90906, -0.08088, -0.40708,35.30902,
13.96, 1.62, 23.96,-0.06593, 0.88541, -0.09672, -0.44984,35.6569,
13.68, 1.60, 23.72,-0.04703, 0.81340, -0.09370, -0.57217,35.9973,
13.36, 1.64, 23.55,-0.05635, 0.71303, -0.07001, -0.69535,36.34088,
12.97, 1.63, 23.49,-0.05779, 0.68750, -0.03957, -0.72280,36.68583,
12.62, 1.63, 23.42,-0.00578, 0.65969, 0.00776, -0.75148,37.02985,
12.25, 1.65, 23.42,-0.04547, 0.54706, -0.00871, -0.83581,37.3744,
11.93, 1.61, 23.57,-0.06426, 0.39923, -0.02413, -0.91428,37.71861,
11.69, 1.61, 23.77,-0.09403, 0.09747, -0.02409, -0.99049,38.07915,
11.65, 1.61, 23.96,-0.12329, -0.40605, 0.02730, -0.90508,38.426,
11.77, 1.60, 24.11,-0.02255, -0.54370, 0.04867, -0.83756,38.77464,
11.97, 1.60, 24.22,-0.01767, -0.64849, 0.02882, -0.76048,39.11823,
12.29, 1.62, 24.35,-0.03115, -0.70144, 0.04128, -0.71085,39.49623,
12.74, 1.60, 24.41,-0.08556, -0.49021, 0.02265, -0.86710,39.93436,
13.01, 1.61, 24.59,-0.06043, -0.22040, 0.01261, -0.97345,40.28954,
13.17, 1.63, 24.83,-0.05320, -0.02837, -0.03115, -0.99769,40.63521,
13.26, 1.61, 25.08,-0.02030, 0.27132, -0.05757, -0.96055,40.97996,
13.23, 1.64, 25.32,0.09331, 0.43117, 0.01390, -0.89732,41.32637,
13.03, 1.62, 25.60,0.01959, 0.38137, -0.00169, -0.92421,41.67181,
12.83, 1.62, 25.89,0.11554, 0.38109, 0.03510, -0.91662,42.01591,
12.66, 1.65, 26.19,0.09906, 0.27212, 0.02513, -0.95682,42.36122,
12.45, 1.60, 26.47,0.01179, 0.14589, 0.00947, -0.98918,42.70485,
12.32, 1.59, 26.73,-0.05748, 0.12199, -0.00102, -0.99087,43.04754,
12.24, 1.59, 26.89,-0.11009, 0.16143, -0.04633, -0.97963,43.44392,
