PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.82, 1.49, 24.81,-0.09725, -0.09698, 0.03212, -0.99000,111.3433,
14.83, 1.49, 24.82,-0.10993, -0.07447, 0.00379, -0.99114,111.691,
14.82, 1.48, 24.82,-0.14557, -0.02573, 0.00842, -0.98898,112.0439,
14.80, 1.48, 24.83,-0.13428, 0.03163, 0.00470, -0.99043,112.3781,
14.78, 1.50, 24.83,-0.09140, 0.06403, -0.00257, -0.99375,112.7218,
14.73, 1.50, 24.80,-0.07572, 0.16291, -0.00365, -0.98372,113.0631,
14.70, 1.48, 24.75,-0.11628, 0.24464, -0.02944, -0.96217,113.4128,
14.76, 1.48, 24.70,-0.11635, 0.12305, -0.01326, -0.98547,113.7572,
14.90, 1.48, 24.64,-0.10084, -0.26947, 0.02036, -0.95750,114.101,
14.95, 1.48, 24.60,-0.06861, -0.34546, 0.00569, -0.93590,114.4458,
14.94, 1.49, 24.62,-0.07810, -0.21707, 0.00587, -0.97301,114.7903,
14.93, 1.50, 24.65,-0.06631, -0.25025, 0.01528, -0.96579,115.1341,
14.92, 1.49, 24.67,-0.07910, -0.31353, 0.03120, -0.94577,115.4783,
14.92, 1.48, 24.72,-0.09152, -0.34761, 0.04315, -0.93216,115.8225,
15.01, 1.45, 24.83,-0.13465, -0.34468, 0.05059, -0.92763,116.1667,
15.17, 1.48, 24.99,-0.09707, -0.31571, 0.01480, -0.94376,116.5113,
15.29, 1.48, 25.14,-0.08049, -0.31983, 0.01055, -0.94399,116.8551,
15.40, 1.49, 25.34,-0.03922, -0.35835, 0.02396, -0.93245,117.1995,
15.53, 1.48, 25.52,-0.05632, -0.39561, 0.03465, -0.91604,117.5441,
15.72, 1.48, 25.70,-0.05802, -0.38649, 0.03340, -0.91986,117.8882,
15.88, 1.49, 25.86,-0.06679, -0.40144, 0.02460, -0.91311,118.227,
16.04, 1.49, 26.09,-0.04086, -0.48853, 0.01368, -0.87148,118.5809,
16.21, 1.49, 26.27,-0.01597, -0.57705, 0.02287, -0.81623,118.9414,
16.42, 1.49, 26.40,-0.00385, -0.62545, 0.02598, -0.77982,119.2821,
16.59, 1.50, 26.50,0.00971, -0.67929, 0.00812, -0.73376,119.6314,
