Source = 3, Local odds = 0.4, Reward = 0, Time = 75.4909, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 113.4698, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 123.8978, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 137.358, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 142.4229, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 147.9423, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 153.6168, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 158.6701, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 164.7341, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 170.0205, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 175.5397, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 181.0589, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 187.434, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 193.265, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 229.703, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 234.8456, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 240.3872, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 245.3844, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 250.6602, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 255.7573, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 261.4671, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 266.8414, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 271.8748, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 278.0775, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 284.3312, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 315.9045, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 321.2021, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 326.4607, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 331.5422, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 339.4771, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 344.895, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 350.2375, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 355.5868, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 360.8397, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 366.398, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 371.8115, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 377.4209, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 383.4221, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 411.482, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 417.4674, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 422.6476, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 429.1392, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 434.5032, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 440.4124, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 445.4323, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 450.9728, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 456.1598, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 461.7896, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 468.5225, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 473.7716, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 478.7957, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 483.9243, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 489.4549, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 511.4883, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 518.4854, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 547.0038, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 552.8467, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 558.8749, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 564.5695, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 569.67, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 574.9904, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 580.2206, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 586.0632, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 591.1942, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 597.1908, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 618.2137, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 623.4775, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 628.7759, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 633.8506, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 639.9034, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 644.9774, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 650.1039, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 655.299, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 660.6086, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 665.8708, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 670.9014, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 677.2202, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 682.5143, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 707.1174, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 712.8234, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 718.0948, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 723.1929, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 728.1952, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 733.3596, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 739.2177, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 744.3248, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 750.2588, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 766.4339, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 771.9756, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 777.1508, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 782.4376, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 787.6784, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 793.0817, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 798.2384, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 803.9206, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 832.4335, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 838.1348, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 844.25, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 850.1027, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 858.254, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 863.7744, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 869.472, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 876.6782, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 881.7884, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 894.2151, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 899.3241, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 904.843, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 910.015, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 915.1497, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 920.6078, 
