ID= Mitch_control, Source = 0, Local odds = 0.5, Reward = 1, Time = 42.9607, 
ID= Mitch_control, Source = 0, Local odds = 0.5, Reward = 0, Time = 48.34801, 
ID= Mitch_control, Source = 0, Local odds = 0.5, Reward = 0, Time = 53.59873, 
ID= Mitch_control, Source = 3, Local odds = 0.65, Reward = 0, Time = 72.23461, 
ID= Mitch_control, Source = 3, Local odds = 0.65, Reward = 1, Time = 77.48758, 
ID= Mitch_control, Source = 3, Local odds = 0.65, Reward = 0, Time = 82.70813, 
ID= Mitch_control, Source = 2, Local odds = 0.55, Reward = 0, Time = 99.42153, 
ID= Mitch_control, Source = 2, Local odds = 0.55, Reward = 0, Time = 104.7309, 
ID= Mitch_control, Source = 2, Local odds = 0.55, Reward = 0, Time = 110.0798, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 125.9338, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 131.2516, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 136.5268, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 141.79, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 147.1318, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 152.4717, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 158.3181, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 163.7573, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 169.0652, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 174.3515, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 179.8226, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 184.8969, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 191.8198, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 197.117, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 202.4384, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 207.8133, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 0, Time = 213.0998, 
ID= Mitch_control, Source = 1, Local odds = 0.6, Reward = 1, Time = 218.3413, 
