Source = 3, Local odds = 0.55, Reward = 0, Time = 29.16171, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 34.44263, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 39.51577, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 44.75779, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 50.02123, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 69.57937, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 74.95551, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 80.18293, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 85.50525, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 90.7676, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 96.0545, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 101.2962, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 106.6343, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 111.9363, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 117.2259, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 122.4871, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 142.0008, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 147.3068, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 152.5519, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 157.847, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 163.1259, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 168.4098, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 173.6514, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 178.9277, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 184.2134, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 189.4435, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 194.7297, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 200.018, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 205.327, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 210.579, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 229.5029, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 234.8098, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 240.1093, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 245.3936, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 250.6702, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 256.6825, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 261.986, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 267.1502, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 272.2478, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 277.5232, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 282.9207, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 306.9663, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 312.1846, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 317.4371, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 322.7026, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 327.9938, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 333.275, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 339.1561, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 344.3699, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 350.6825, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 356.0746, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 361.5038, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 366.7906, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 372.032, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 390.5926, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 396.0297, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 401.2641, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 406.5317, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 411.8029, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 417.0898, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 422.3616, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 427.6627, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 432.9265, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 438.2236, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 443.4991, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 448.7637, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 454.0518, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 459.3594, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 464.6667, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 469.9411, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 475.2286, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 480.5369, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 485.8244, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 491.1209, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 496.3921, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 501.6688, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 506.9454, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 512.2103, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 517.5533, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 522.8047, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 528.1096, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 533.4114, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 539.0318, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 544.0631, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 549.3813, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 565.764, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 571.0171, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 576.2812, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 581.5372, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 586.8099, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 592.0944, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 597.3496, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 602.6222, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 607.9103, 
