Source = 0, Local odds = 0.6, Reward = 1, Time = 40.33437, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 45.58924, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 50.81907, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 56.16199, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 61.41334, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 66.86752, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 72.17648, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 77.4623, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 82.70371, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 88.01145, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 107.7255, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 113.0552, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 118.3981, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 123.6728, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 129.069, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 134.444, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 139.7431, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 145.0517, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 150.3699, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 155.6683, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 161.0542, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 166.319, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 187.0744, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 192.3395, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 197.7588, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 203.0339, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 208.2879, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 213.5616, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 219.3155, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 224.6342, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 229.8987, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 235.207, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 240.4933, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 245.7909, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 269.081, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 274.3627, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 279.8894, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 284.984, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 290.2581, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 295.5105, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 300.7657, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 306.041, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 311.5779, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 317.1557, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 322.4218, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 327.7179, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 332.9385, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 338.2027, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 343.7428, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 361.9036, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 367.2527, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 372.5426, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 378.1503, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 383.4237, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 388.7011, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 393.9984, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 399.3157, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 404.6148, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 409.856, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 415.2673, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 433.3906, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 439.5269, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 444.7605, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 450.0427, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 455.5656, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 460.965, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 466.2197, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 471.5374, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 476.8258, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 482.0888, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 487.3639, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 493.4393, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 498.7588, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 504.0106, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 509.2763, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 514.5964, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 533.7637, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 539.0709, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 544.3912, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 549.6895, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 554.9761, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 560.3057, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 565.6028, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 570.9442, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 576.1998, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 581.541, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 587.7319, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 593.0237, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 598.3333, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 616.5351, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 621.9417, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 627.2516, 
