"","id","Source","Local_odds","Reward","Time"
"1","Chris","0",0.6,0,29.3258
"2","Chris","0",0.6,0,35.26699
"3","Chris","0",0.6,1,41.98592
"4","Chris","1",0.65,1,63.19845
"5","Chris","1",0.65,1,68.6507
"6","Chris","1",0.65,1,74.03726
"7","Chris","1",0.65,0,80.4966
"8","Chris","1",0.65,0,85.89015
"9","Chris","1",0.65,1,92.14556
"10","Chris","1",0.65,1,97.53158
"11","Chris","2",0.5,1,117.2699
"12","Chris","2",0.5,1,136.9691
"13","Chris","2",0.5,1,143.7546
"14","Chris","2",0.5,1,150.7957
"15","Chris","2",0.5,0,157.1911
"16","Chris","2",0.5,1,163.0115
"17","Chris","2",0.5,1,168.8194
"18","Chris","3",0.55,0,188.1202
"19","Chris","3",0.55,1,193.5427
"20","Chris","3",0.55,0,199.0238
"21","Chris","3",0.55,0,205.1482
"22","Chris","3",0.55,0,210.6019
"23","Chris","1",0.65,0,227.6821
"24","Chris","1",0.65,0,233.3891
"25","Chris","1",0.65,1,239.265
"26","Chris","1",0.65,1,244.7057
"27","Chris","1",0.65,0,250.5687
"28","Chris","1",0.65,1,256.6015
"29","Chris","1",0.65,1,263.7523
"30","Chris","1",0.65,0,269.3378
"31","Chris","2",0.5,0,287.0644
"32","Chris","2",0.5,1,292.5284
"33","Chris","2",0.5,1,299.0936
"34","Chris","2",0.5,0,304.4929
"35","Chris","2",0.5,0,309.954
"36","Chris","2",0.5,0,315.2488
"37","Chris","2",0.5,1,321.3592
"38","Chris","2",0.5,0,327.345
"39","Chris","2",0.5,1,333.152
"40","Chris","2",0.5,1,338.8293
"41","Chris","2",0.5,1,344.9035
"42","Chris","2",0.5,0,350.5901
"43","Chris","2",0.5,0,356.3086
"44","Chris","1",0.65,1,374.2343
"45","Chris","1",0.65,1,379.5651
"46","Chris","1",0.65,0,384.8739
"47","Chris","1",0.65,1,390.6367
"48","Chris","1",0.65,1,396.2679
"49","Chris","1",0.65,1,401.8534
"50","Chris","1",0.65,0,408.9276
"51","Chris","1",0.65,1,414.847
"52","Chris","1",0.65,1,421.2868
"53","Chris","1",0.65,1,426.7189
"54","Chris","1",0.65,1,432.3616
"55","Chris","1",0.65,1,438.7232
"56","Chris","1",0.65,1,444.6326
"57","Chris","1",0.65,1,450.0628
"58","Chris","1",0.65,1,455.5513
"59","Chris","1",0.65,1,460.9508
"60","Chris","1",0.65,1,466.9364
"61","Chris","1",0.65,0,472.5644
"62","Chris","1",0.65,0,479.1506
"63","Chris","1",0.65,1,486.9916
"64","Chris","1",0.65,1,493.0206
"65","Chris","1",0.65,1,499.2635
"66","Chris","1",0.65,0,504.7595
"67","Chris","1",0.65,0,510.1788
"68","Chris","1",0.65,0,516.0206
"69","Chris","1",0.65,0,521.795
"70","Chris","2",0.5,1,540.408
"71","Chris","2",0.5,1,546.3953
"72","Chris","2",0.5,0,553.223
"73","Chris","2",0.5,1,559.31
"74","Chris","2",0.5,1,564.9993
"75","Chris","2",0.5,1,571.1393
"76","Chris","2",0.5,0,577.2458
"77","Chris","2",0.5,1,583.2236
"78","Chris","2",0.5,0,589.4731
"79","Chris","2",0.5,0,594.9819
"80","Chris","2",0.5,1,601.035
"81","Chris","2",0.5,0,606.4321
"82","Chris","1",0.65,1,627.8107
"83","Chris","1",0.65,0,633.2742
"84","Chris","1",0.65,0,638.7091
"85","Chris","1",0.65,1,644.1597
"86","Chris","1",0.65,0,649.8439
"87","Chris","1",0.65,0,655.7756
"88","Chris","1",0.65,1,661.2297
"89","Chris","1",0.65,1,667.5366
"90","Chris","1",0.65,0,673.7659
"91","Chris","1",0.65,1,679.1323
"92","Chris","3",0.55,0,706.3857
"93","Chris","3",0.55,1,718.3561
"94","Chris","0",0.6,0,756.7823
"95","Chris","0",0.6,0,762.1782
"96","Chris","0",0.6,0,768.408
"97","Chris","1",0.65,0,788.3098
"98","Chris","1",0.65,0,795.2063
"99","Chris","1",0.65,1,800.7159
"100","Chris","1",0.65,0,806.4918
"101","Chris","1",0.65,1,812.6878
"102","Chris","1",0.65,1,818.0528
"103","Chris","1",0.65,1,823.9401
"104","Chris","1",0.65,0,830.0704
"105","Chris","1",0.65,0,836.369
"106","Chris","1",0.65,0,842.3068
"107","Chris","1",0.65,1,847.7869
"108","Chris","1",0.65,1,853.8678
"109","Chris","1",0.65,0,860.1548
"110","Chris","1",0.65,1,867.7316
"111","Chris","1",0.65,0,873.3197
"112","Chris","1",0.65,0,879.6222
"113","Chris","1",0.65,1,885.1984
"114","Chris","1",0.65,0,891.4057
"115","Chris","2",0.5,0,915.2155
"116","Chris","2",0.5,0,920.8937
