"","id","Source","Local_odds","Reward","Time"
"1","Ellery","0",0.5,1,113.4698
"2","Ellery","0",0.5,0,123.8978
"3","Ellery","0",0.5,0,137.358
"4","Ellery","0",0.5,1,142.4229
"5","Ellery","0",0.5,1,147.9423
"6","Ellery","0",0.5,0,153.6168
"7","Ellery","0",0.5,0,158.6701
"8","Ellery","0",0.5,0,164.7341
"9","Ellery","0",0.5,1,170.0205
"10","Ellery","0",0.5,0,175.5397
"11","Ellery","0",0.5,0,181.0589
"12","Ellery","0",0.5,1,187.434
"13","Ellery","0",0.5,1,193.265
"14","Ellery","2",0.55,1,229.703
"15","Ellery","2",0.55,1,234.8456
"16","Ellery","2",0.55,0,240.3872
"17","Ellery","2",0.55,0,245.3844
"18","Ellery","2",0.55,0,250.6602
"19","Ellery","2",0.55,0,255.7573
"20","Ellery","2",0.55,1,261.4671
"21","Ellery","2",0.55,1,266.8414
"22","Ellery","2",0.55,1,271.8748
"23","Ellery","2",0.55,1,278.0775
"24","Ellery","2",0.55,1,284.3312
"25","Ellery","1",0.45,0,315.9045
"26","Ellery","1",0.45,0,321.2021
"27","Ellery","1",0.45,0,326.4607
"28","Ellery","1",0.45,0,331.5422
"29","Ellery","1",0.45,1,339.4771
"30","Ellery","1",0.45,1,344.895
"31","Ellery","1",0.45,1,350.2375
"32","Ellery","1",0.45,0,355.5868
"33","Ellery","1",0.45,0,360.8397
"34","Ellery","1",0.45,0,366.398
"35","Ellery","1",0.45,0,371.8115
"36","Ellery","1",0.45,0,377.4209
"37","Ellery","1",0.45,1,383.4221
"38","Ellery","0",0.5,0,411.482
"39","Ellery","0",0.5,1,417.4674
"40","Ellery","0",0.5,1,422.6476
"41","Ellery","0",0.5,1,429.1392
"42","Ellery","0",0.5,0,434.5032
"43","Ellery","0",0.5,0,440.4124
"44","Ellery","0",0.5,1,445.4323
"45","Ellery","0",0.5,0,450.9728
"46","Ellery","0",0.5,0,456.1598
"47","Ellery","0",0.5,1,461.7896
"48","Ellery","0",0.5,1,468.5225
"49","Ellery","0",0.5,0,473.7716
"50","Ellery","0",0.5,0,478.7957
"51","Ellery","0",0.5,0,483.9243
"52","Ellery","0",0.5,1,489.4549
"53","Ellery","3",0.4,0,511.4883
"54","Ellery","3",0.4,1,518.4854
"55","Ellery","0",0.5,0,547.0038
"56","Ellery","0",0.5,1,552.8467
"57","Ellery","0",0.5,0,558.8749
"58","Ellery","0",0.5,1,564.5695
"59","Ellery","0",0.5,1,569.67
"60","Ellery","0",0.5,1,574.9904
"61","Ellery","0",0.5,0,580.2206
"62","Ellery","0",0.5,1,586.0632
"63","Ellery","0",0.5,1,591.1942
"64","Ellery","0",0.5,1,597.1908
"65","Ellery","2",0.55,0,618.2137
"66","Ellery","2",0.55,0,623.4775
"67","Ellery","2",0.55,1,628.7759
"68","Ellery","2",0.55,1,633.8506
"69","Ellery","2",0.55,0,639.9034
"70","Ellery","2",0.55,0,644.9774
"71","Ellery","2",0.55,0,650.1039
"72","Ellery","2",0.55,1,655.299
"73","Ellery","2",0.55,0,660.6086
"74","Ellery","2",0.55,1,665.8708
"75","Ellery","2",0.55,0,670.9014
"76","Ellery","2",0.55,0,677.2202
"77","Ellery","2",0.55,1,682.5143
"78","Ellery","1",0.45,1,707.1174
"79","Ellery","1",0.45,0,712.8234
"80","Ellery","1",0.45,0,718.0948
"81","Ellery","1",0.45,0,723.1929
"82","Ellery","1",0.45,1,728.1952
"83","Ellery","1",0.45,1,733.3596
"84","Ellery","1",0.45,1,739.2177
"85","Ellery","1",0.45,1,744.3248
"86","Ellery","1",0.45,1,750.2588
"87","Ellery","1",0.45,0,766.4339
"88","Ellery","1",0.45,0,771.9756
"89","Ellery","1",0.45,1,777.1508
"90","Ellery","1",0.45,1,782.4376
"91","Ellery","1",0.45,0,787.6784
"92","Ellery","1",0.45,0,793.0817
"93","Ellery","1",0.45,0,798.2384
"94","Ellery","1",0.45,1,803.9206
"95","Ellery","0",0.5,0,832.4335
"96","Ellery","0",0.5,0,838.1348
"97","Ellery","0",0.5,0,844.25
"98","Ellery","0",0.5,0,850.1027
"99","Ellery","0",0.5,0,858.254
"100","Ellery","0",0.5,1,863.7744
"101","Ellery","0",0.5,0,869.472
"102","Ellery","0",0.5,1,876.6782
"103","Ellery","0",0.5,0,881.7884
"104","Ellery","0",0.5,0,894.2151
"105","Ellery","0",0.5,1,899.3241
"106","Ellery","0",0.5,1,904.843
"107","Ellery","0",0.5,0,910.015
"108","Ellery","0",0.5,0,915.1497
"109","Ellery","0",0.5,0,920.6078
