ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 208.2881, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 0, Time = 214.4167, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 222.8673, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 228.5213, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 0, Time = 233.7745, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 239.1714, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 244.7693, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 303.3511, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 311.589, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 317.0116, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 0, Time = 323.0302, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 373.8288, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 379.171, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 0, Time = 412.2216, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 0, Time = 417.7184, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 422.8604, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 0, Time = 428.3137, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 434.388, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 450.8025, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 456.2111, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 0, Time = 461.5756, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 478.6321, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 1, Time = 483.9542, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 489.4709, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 1, Time = 494.5604, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 500.0239, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 505.2989, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 510.6734, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 526.5891, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 532.0189, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 540.1693, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 545.6347, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 551.0103, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 556.3075, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 561.6943, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 567.047, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 572.5337, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 578.6756, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 584.1177, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 598.3759, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 604.6082, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 686.9778, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 693.3747, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 699.2617, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 704.5137, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 724.0934, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 0, Time = 729.502, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 1, Time = 734.9656, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 753.0457, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 0, Time = 762.0536, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 767.2844, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 772.4142, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 777.5003, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 782.8212, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 787.9802, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 793.2383, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 0, Time = 823.5468, 
ID= 000, Source = 1, Local odds = 0.55, Reward = 1, Time = 829.0608, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 849.2797, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 867.2103, 
ID= 000, Source = 0, Local odds = 0.6, Reward = 1, Time = 881.7048, 
ID= 000, Source = 3, Local odds = 0.5, Reward = 1, Time = 925.1191, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 0, Time = 944.6262, 
ID= 000, Source = 2, Local odds = 0.65, Reward = 1, Time = 953.2126, 
