ID= 131_1, Source = 2, Local odds = 0.6, Reward = 0, Time = 77.66594, 
ID= 131_1, Source = 2, Local odds = 0.6, Reward = 0, Time = 84.63186, 
ID= 131_1, Source = 2, Local odds = 0.6, Reward = 0, Time = 95.93111, 
ID= 131_1, Source = 2, Local odds = 0.6, Reward = 1, Time = 101.1357, 
ID= 131_1, Source = 2, Local odds = 0.6, Reward = 0, Time = 106.5561, 
ID= 131_1, Source = 2, Local odds = 0.6, Reward = 1, Time = 113.1303, 
ID= 131_1, Source = 1, Local odds = 0.5, Reward = 1, Time = 168.4141, 
ID= 131_1, Source = 1, Local odds = 0.5, Reward = 0, Time = 173.4455, 
ID= 131_1, Source = 1, Local odds = 0.5, Reward = 1, Time = 178.575, 
ID= 131_1, Source = 1, Local odds = 0.5, Reward = 1, Time = 184.4178, 
ID= 131_1, Source = 0, Local odds = 0.65, Reward = 1, Time = 225.0656, 
ID= 131_1, Source = 0, Local odds = 0.65, Reward = 1, Time = 230.8516, 
ID= 131_1, Source = 0, Local odds = 0.65, Reward = 1, Time = 235.8898, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 278.3614, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 283.9363, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 289.2671, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 294.408, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 299.6261, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 305.3552, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 310.8674, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 316.2764, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 321.2967, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 327.0242, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 332.7788, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 0, Time = 338.3834, 
ID= 131_1, Source = 3, Local odds = 0.55, Reward = 1, Time = 343.8414, 
