ID= 276, Source = 3, Local odds = 0.65, Reward = 1, Time = 93.55959, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 0, Time = 100.1832, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 0, Time = 112.6108, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 0, Time = 117.7205, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 1, Time = 123.9941, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 1, Time = 129.1042, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 1, Time = 134.5999, 
ID= 276, Source = 3, Local odds = 0.65, Reward = 1, Time = 140.3296, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 0, Time = 190.2053, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 0, Time = 195.892, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 1, Time = 201.4913, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 0, Time = 206.9317, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 1, Time = 212.274, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 1, Time = 217.8447, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 1, Time = 223.2119, 
ID= 276, Source = 2, Local odds = 0.55, Reward = 1, Time = 228.754, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 1, Time = 267.2586, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 272.8994, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 278.5083, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 1, Time = 284.1495, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 1, Time = 289.7799, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 1, Time = 295.3992, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 301.1642, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 306.6944, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 312.3765, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 0, Time = 317.7329, 
ID= 276, Source = 1, Local odds = 0.6, Reward = 1, Time = 323.3422, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 1, Time = 356.2262, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 1, Time = 361.6686, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 1, Time = 367.1772, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 0, Time = 372.7514, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 1, Time = 378.0817, 
ID= 276, Source = 0, Local odds = 0.5, Reward = 1, Time = 383.3914, 
