ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 141.1735, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 148.2702, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 158.1562, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 164.7389, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 171.8572, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 178.2544, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 184.8215, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 190.6821, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 196.7901, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 202.3994, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 208.2842, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 213.6726, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 219.2246, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 225.1565, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 231.6631, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 237.3145, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 243.0012, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 249.1857, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 255.0627, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 260.8395, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 266.524, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 1, Time = 330.2928, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 0, Time = 339.8672, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 1, Time = 345.6634, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 0, Time = 353.715, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 0, Time = 361.3333, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 1, Time = 369.9303, 
ID= NIHA_1, Source = 3, Local odds = 0.6, Reward = 1, Time = 375.8825, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 1, Time = 409.6905, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 1, Time = 417.2505, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 0, Time = 423.525, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 1, Time = 429.502, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 0, Time = 436.0095, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 0, Time = 443.4613, 
ID= NIHA_1, Source = 0, Local odds = 0.5, Reward = 0, Time = 449.2246, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 477.1222, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 483.1562, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 488.8182, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 493.9478, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 499.7335, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 505.2092, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 510.9628, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 1, Time = 516.0489, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 528.4464, 
ID= NIHA_1, Source = 2, Local odds = 0.55, Reward = 0, Time = 536.2833, 
