ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 0, Time = 31.94848, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 0, Time = 46.9716, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 0, Time = 61.34383, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 0, Time = 67.16357, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 1, Time = 72.65932, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 1, Time = 78.49304, 
ID= Carlos_control, Source = 1, Local odds = 0.65, Reward = 0, Time = 83.9554, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 108.0086, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 113.5367, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 119.0484, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 124.4773, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 129.8972, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 135.2516, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 140.5719, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 145.9131, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 151.3223, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 156.6621, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 161.9978, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 167.6696, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 174.0332, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 179.4748, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 184.938, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 190.235, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 195.5633, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 217.5379, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 222.9217, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 228.429, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 233.9156, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 239.2798, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 244.5885, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 250.1188, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 255.6154, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 261.1974, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 266.5333, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 271.8314, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 1, Time = 277.1512, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 285.5457, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 295.241, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 301.2477, 
ID= Carlos_control, Source = 3, Local odds = 0.6, Reward = 0, Time = 307.5146, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 0, Time = 336.3185, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 1, Time = 341.7307, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 0, Time = 347.1505, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 1, Time = 352.4958, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 1, Time = 357.9448, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 1, Time = 363.2765, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 0, Time = 368.6286, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 0, Time = 373.9595, 
ID= Carlos_control, Source = 2, Local odds = 0.5, Reward = 0, Time = 379.2774, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 414.1421, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 419.4975, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 425.0026, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 430.3445, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 435.8301, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 441.506, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 446.8576, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 460.8299, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 466.2954, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 472.0779, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 477.456, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 482.9856, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 488.4721, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 494.0081, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 499.2831, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 504.597, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 510.573, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 517.2716, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 525.5979, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 531.9946, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 537.7017, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 543.1675, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 548.9787, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 554.919, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 561.9227, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 567.2997, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 1, Time = 572.7867, 
ID= Carlos_control, Source = 0, Local odds = 0.55, Reward = 0, Time = 578.3601, 
