Source = 0, Local odds = 0.6, Reward = 1, Time = 24.00717, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 29.3258, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 35.26699, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 41.98592, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 63.19845, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 68.6507, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 74.03726, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 80.4966, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 85.89015, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 92.14556, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 97.53158, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 117.2699, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 136.9691, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 143.7546, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 150.7957, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 157.1911, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 163.0115, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 168.8194, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 188.1202, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 193.5427, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 199.0238, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 205.1482, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 210.6019, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 227.6821, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 233.3891, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 239.265, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 244.7057, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 250.5687, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 256.6015, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 263.7523, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 269.3378, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 287.0644, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 292.5284, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 299.0936, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 304.4929, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 309.954, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 315.2488, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 321.3592, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 327.345, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 333.152, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 338.8293, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 344.9035, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 350.5901, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 356.3086, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 374.2343, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 379.5651, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 384.8739, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 390.6367, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 396.2679, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 401.8534, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 408.9276, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 414.847, 
