ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 40.68844, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 45.84933, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 51.1435, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 56.28607, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 61.36092, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 66.44836, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 71.52348, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 100.3024, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 105.3899, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 110.4509, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 115.5355, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 120.5791, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 125.6431, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 130.7284, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 135.7838, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 140.8794, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 145.9555, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 151.0289, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 156.0729, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 161.181, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 166.2446, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 171.3322, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 176.4182, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 202.3869, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 1, Time = 207.5702, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 212.6369, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 217.7315, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 222.8181, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 1, Time = 227.9036, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 1, Time = 232.9787, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 1, Time = 238.0443, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 243.1072, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 1, Time = 248.2735, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 253.3371, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 258.4032, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 263.4771, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 286.3794, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 291.7611, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 296.8053, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 301.8803, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 306.9249, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 311.9986, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 317.0619, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 322.1261, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 327.2132, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 332.2875, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 337.3298, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 342.3839, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 347.4457, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 352.5013, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 357.575, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 362.661, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 367.7161, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 372.8022, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 377.8811, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 398.7031, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 404.032, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 409.0979, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 414.1713, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 419.2343, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 424.2887, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 429.3638, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 434.4282, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 439.5025, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 444.5562, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 449.6315, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 455.0926, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 460.1614, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 465.3579, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 470.4256, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 475.506, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 480.5636, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 485.6364, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 506.0362, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 511.3678, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 516.4337, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 521.5179, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 526.6085, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 531.7052, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 536.7944, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 542.0961, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 547.185, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 552.2614, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 557.3239, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 562.5556, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 567.6202, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 572.6846, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 577.7354, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 582.7802, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 587.8655, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 592.9406, 
ID= Ellery_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 598.0264, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 619.3879, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 624.4724, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 629.5337, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 634.5994, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 639.6504, 
ID= Ellery_2, Source = 0, Local odds = 0.5, Reward = 0, Time = 644.7383, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 664.2208, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 669.3132, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 674.3699, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 679.4333, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 684.4971, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 689.5615, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 694.6257, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 699.7571, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 704.8214, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 709.884, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 714.9462, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 720.003, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 725.0559, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 730.1322, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 735.2101, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 740.2921, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 745.7675, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 750.8312, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 756.1188, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 761.1824, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 766.2362, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 774.3904, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 779.4724, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 1, Time = 784.5303, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 789.5913, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 794.6777, 
ID= Ellery_2, Source = 3, Local odds = 0.55, Reward = 0, Time = 799.7532, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 821.8452, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 827.0299, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 832.1038, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 837.1586, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 842.2328, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 847.2857, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 852.3388, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 857.4027, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 862.4656, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 867.53, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 872.6172, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 877.6818, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 882.7247, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 887.7924, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 892.8624, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 897.9502, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 903.0266, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 908.0785, 
ID= Ellery_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 913.1522, 
