Source = 1, Local odds = 0.55, Reward = 0, Time = 32.11985, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 38.43335, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 51.47641, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 57.02841, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 65.78007, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 96.03129, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 104.7821, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 114.2664, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 143.276, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 149.2616, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 158.4349, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 163.7321, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 169.2849, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 174.6493, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 179.7659, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 185.0318, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 190.7078, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 236.4747, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 242.3839, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 247.6818, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 252.8883, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 257.9089, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 264.6767, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 270.2867, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 275.5568, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 280.6306, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 285.7524, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 290.9525, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 296.1507, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 302.6989, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 307.7855, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 314.0291, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 319.1377, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 324.5756, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 330.5428, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 335.7964, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 341.4286, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 349.0028, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 355.3284, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 361.2258, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 366.5355, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 376.2523, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 381.6624, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 389.379, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 394.4426, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 399.7299, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 405.2057, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 411.2244, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 417.6996, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 423.6182, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 429.6194, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 435.3133, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 440.3552, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 445.774, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 452.1271, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 458.5224, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 463.61, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 469.3629, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 474.7605, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 481.6021, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 487.4774, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 492.487, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 497.4941, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 502.8864, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 508.3445, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 513.8867, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 519.2499, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 524.4021, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 529.6342, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 534.6763, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 540.4073, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 548.7477, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 553.7998, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 559.942, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 567.1158, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 572.2795, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 577.281, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 582.336, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 587.6755, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 594.8228, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 632.605, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 637.7421, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 643.5331, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 649.4185, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 654.6824, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 660.0349, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 666.1331, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 671.2745, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 676.546, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 682.0583, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 687.232, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 693.2925, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 698.5609, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 705.4813, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 712.6891, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 727.4043, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 732.9819, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 738.5081, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 744.0419, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 749.0461, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 756.0903, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 761.3567, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 767.2304, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 772.3832, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 778.3794, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 783.8861, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 789.1071, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 823.1575, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 832.6279, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 837.9279, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 843.4019, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 850.5995, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 857.1791, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 862.8939, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 868.2977, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 874.0434, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 880.062, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 885.1932, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 891.2018, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 896.4661, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 902.5936, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 907.7038, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 912.7684, 
