Source = 1, Local odds = 0.45, Reward = 0, Time = 21.81392, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 27.24972, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 32.53679, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 38.84312, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 44.59665, 
Source = 0, Local odds = 0.4, Reward = 1, Time = 69.70674, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 75.62638, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 82.63351, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 87.93136, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 108.9442, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 117.8835, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 122.9355, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 128.8448, 
Source = 3, Local odds = 0.55, Reward = 0, Time = 134.0537, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 157.2178, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 162.328, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 167.6163, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 172.8227, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 178.0347, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 183.3726, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 188.6601, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 194.1796, 
