ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 20.72312, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 25.94348, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 31.16407, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 36.40593, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 41.66948, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 46.94163, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 52.16399, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 58.35603, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 63.63612, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 68.90222, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 74.17661, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 79.3709, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 84.59335, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 0, Time = 89.81419, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 95.0669, 
ID= Mitch_Exploration, Source = 0, Local odds = 0.5, Reward = 1, Time = 100.3869, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 115.8129, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 0, Time = 121.1199, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 126.3627, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 131.6689, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 136.9128, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 142.1546, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 147.407, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 152.7492, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 158.0686, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 0, Time = 163.3221, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 168.6516, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 173.9717, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 179.27, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 0, Time = 184.567, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 189.8546, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 195.1625, 
ID= Mitch_Exploration, Source = 1, Local odds = 0.55, Reward = 1, Time = 200.4767, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 217.4093, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 222.6388, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 227.9226, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 233.243, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 238.6522, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 244.0601, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 249.324, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 254.5626, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 259.9861, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 265.3723, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 270.8476, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 276.0781, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 281.3094, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 286.5841, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 291.903, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 1, Time = 297.133, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 302.5321, 
ID= Mitch_Exploration, Source = 2, Local odds = 0.6, Reward = 0, Time = 307.8535, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 326.523, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 331.8971, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 337.1617, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 342.2335, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 347.5516, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 352.8414, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 358.1393, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 363.415, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 368.6367, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 373.9098, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 0, Time = 379.1078, 
ID= Mitch_Exploration, Source = 3, Local odds = 0.65, Reward = 1, Time = 384.4055, 
