Source = 2, Local odds = 0.4, Reward = 0, Time = 17.5069, 
Source = 2, Local odds = 0.4, Reward = 0, Time = 22.89456, 
Source = 2, Local odds = 0.4, Reward = 1, Time = 27.98864, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 21.15817, 
Source = 3, Local odds = 0.6, Reward = 0, Time = 27.49568, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 38.66426, 
Source = 3, Local odds = 0.6, Reward = 0, Time = 45.15379, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 51.66995, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 60.51328, 
Source = 3, Local odds = 0.6, Reward = 0, Time = 68.0102, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 47.22136, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 57.71103, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 63.43045, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 69.49346, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 76.0275, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 10.13128, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 16.30144, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 22.08005, 
Source = 1, Local odds = 0.65, Reward = 0, Time = 34.60096, 
Source = 1, Local odds = 0.65, Reward = 1, Time = 40.45473, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 28.62061, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 11.0908, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 31.58944, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 37.4445, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 43.23574, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 49.25477, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 55.99723, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 64.90446, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 74.79029, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 83.55181, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 28.0711, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 11.21831, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 32.56573, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 54.72526, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 83.49666, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 164.3602, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 184.3391, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 189.4933, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 9.152582, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 15.73865, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 22.33123, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 31.91676, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 40.85667, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 46.17619, 
