ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 22.3701, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 30.76344, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 12.46428, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 17.84236, 
ID= , Source = 0, Local odds = 0.65, Reward = 1, Time = 18.83775, 
ID= , Source = 0, Local odds = 0.65, Reward = 0, Time = 24.07726, 
ID= , Source = 0, Local odds = 0.65, Reward = 1, Time = 32.29309, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 21.63288, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 27.57574, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 33.36153, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 38.91394, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 44.35596, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 50.23071, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 55.29483, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 63.17771, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 69.11006, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 80.29407, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 104.0712, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 10.15191, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 15.52123, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 29.29109, 
ID= , Source = 0, Local odds = 0.55, Reward = 1, Time = 36.22952, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 41.85064, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 54.40067, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 61.89968, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 68.37474, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 76.45983, 
ID= , Source = 0, Local odds = 0.55, Reward = 0, Time = 81.84196, 
ID= , Source = 1, Local odds = 0.6, Reward = 0, Time = 94.1692, 
ID= , Source = 0, Local odds = 0.5, Reward = 1, Time = 21.27056, 
ID= , Source = 0, Local odds = 0.5, Reward = 1, Time = 28.57274, 
ID= , Source = 0, Local odds = 0.5, Reward = 0, Time = 34.21534, 
ID= , Source = 1, Local odds = 0.6, Reward = 0, Time = 22.89536, 
ID= , Source = 1, Local odds = 0.6, Reward = 1, Time = 28.87857, 
ID= , Source = 1, Local odds = 0.6, Reward = 0, Time = 34.38358, 
ID= , Source = 1, Local odds = 0.6, Reward = 1, Time = 41.42797, 
ID= , Source = 2, Local odds = 0.6, Reward = 1, Time = 12.1673, 
ID= , Source = 2, Local odds = 0.6, Reward = 0, Time = 17.629, 
ID= , Source = 1, Local odds = 0.65, Reward = 0, Time = 33.72136, 
ID= , Source = 1, Local odds = 0.65, Reward = 1, Time = 39.16294, 
ID= , Source = 1, Local odds = 0.65, Reward = 1, Time = 45.98187, 
ID= , Source = 1, Local odds = 0.65, Reward = 0, Time = 101.5424, 
ID= , Source = 1, Local odds = 0.65, Reward = 1, Time = 106.8877, 
ID= , Source = 1, Local odds = 0.6, Reward = 1, Time = 8.904736, 
ID= , Source = 1, Local odds = 0.6, Reward = 0, Time = 14.44431, 
ID= , Source = 1, Local odds = 0.6, Reward = 0, Time = 19.86806, 
ID= , Source = 2, Local odds = 0.65, Reward = 0, Time = 26.51782, 
ID= , Source = 2, Local odds = 0.5, Reward = 1, Time = 11.35702, 
ID= , Source = 2, Local odds = 0.5, Reward = 0, Time = 16.67034, 
ID= , Source = 3, Local odds = 0.65, Reward = 1, Time = 22.62267, 
ID= , Source = 3, Local odds = 0.65, Reward = 1, Time = 27.98577, 
ID= , Source = 0, Local odds = 0.6, Reward = 0, Time = 35.49359, 
