Source = 1, Local odds = 0.55, Reward = 1, Time = 24.74315, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 30.94922, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 36.51303, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 42.20967, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 48.32919, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 53.72784, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 60.30161, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 65.54897, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 88.40051, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 93.72956, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 99.63732, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 104.8697, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 110.1434, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 115.1527, 
Source = 0, Local odds = 0.5, Reward = 0, Time = 121.7723, 
Source = 0, Local odds = 0.5, Reward = 1, Time = 128.1257, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 158.6329, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 163.7035, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 169.0714, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 176.9248, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 182.2218, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 187.4534, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 193.5533, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 198.8021, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 206.1993, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 213.1409, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 218.459, 
Source = 3, Local odds = 0.4, Reward = 1, Time = 237.6278, 
Source = 3, Local odds = 0.4, Reward = 0, Time = 243.0806, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 299.0201, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 325.9497, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 331.6934, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 336.7993, 
Source = 2, Local odds = 0.45, Reward = 1, Time = 341.8111, 
Source = 2, Local odds = 0.45, Reward = 0, Time = 347.375, 
