PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.76, 1.77, 24.83,-0.27229, 0.08678, -0.05760, -0.95656,23.7839,
14.75, 1.76, 24.83,-0.29034, 0.09793, -0.06607, -0.94960,24.1325,
14.77, 1.76, 24.83,-0.28827, 0.01984, -0.04980, -0.95605,24.47669,
14.78, 1.76, 24.83,-0.27995, 0.01451, -0.04429, -0.95888,24.82109,
14.78, 1.78, 24.82,-0.24975, 0.01399, -0.04300, -0.96725,25.16534,
14.78, 1.78, 24.82,-0.23925, 0.01239, -0.04724, -0.96973,25.51005,
14.78, 1.78, 24.82,-0.24288, -0.00194, -0.04075, -0.96920,25.85364,
14.79, 1.78, 24.83,-0.24037, -0.02967, -0.02566, -0.96989,26.19685,
14.80, 1.79, 24.83,-0.22159, -0.03549, -0.02111, -0.97426,26.54169,
14.78, 1.79, 24.83,-0.20203, 0.02236, -0.04334, -0.97816,26.88713,
14.74, 1.79, 24.82,-0.19065, 0.18495, -0.05156, -0.96270,27.23065,
14.72, 1.79, 24.81,-0.19374, 0.20573, -0.06427, -0.95708,27.57536,
14.72, 1.79, 24.81,-0.20093, 0.19371, -0.06851, -0.95781,27.91929,
14.73, 1.79, 24.82,-0.20851, 0.15168, -0.06609, -0.96393,28.26378,
14.74, 1.79, 24.82,-0.21187, 0.12753, -0.06370, -0.96685,28.60837,
14.75, 1.79, 24.82,-0.21362, 0.10311, -0.06161, -0.96950,28.95091,
14.74, 1.77, 24.81,-0.26741, 0.11711, -0.06596, -0.95416,29.29572,
14.74, 1.76, 24.81,-0.31398, 0.06668, -0.04729, -0.94590,29.64068,
14.73, 1.75, 24.81,-0.33376, 0.02467, -0.05120, -0.94094,29.98444,
14.74, 1.76, 24.81,-0.29546, -0.01406, -0.03200, -0.95472,30.32862,
14.78, 1.81, 24.79,-0.15025, -0.18815, -0.04804, -0.96939,30.67378,
14.79, 1.82, 24.77,-0.11872, -0.22035, -0.02756, -0.96778,31.0181,
14.79, 1.81, 24.78,-0.13300, -0.21616, -0.03270, -0.96671,31.36207,
14.77, 1.79, 24.80,-0.21847, -0.06081, -0.03099, -0.97345,31.70606,
14.77, 1.79, 24.80,-0.23903, -0.03406, -0.01518, -0.97030,32.04959,
14.77, 1.79, 24.81,-0.23940, -0.02587, -0.01878, -0.97040,32.39402,
14.77, 1.78, 24.81,-0.23904, -0.03817, -0.01682, -0.97011,32.7386,
14.82, 1.76, 24.80,-0.31938, -0.19878, 0.01604, -0.92641,33.08255,
14.83, 1.76, 24.79,-0.31496, -0.20651, 0.02585, -0.92601,33.42689,
14.83, 1.76, 24.79,-0.32039, -0.20779, 0.02370, -0.92391,33.77094,
14.83, 1.76, 24.79,-0.32036, -0.20508, 0.02180, -0.92457,34.11536,
14.82, 1.81, 24.80,-0.15406, -0.19032, -0.02661, -0.96919,34.46007,
14.79, 1.82, 24.79,-0.10631, -0.11338, -0.05092, -0.98653,34.80558,
14.75, 1.79, 24.80,-0.20752, 0.08833, -0.01191, -0.97416,35.14919,
14.76, 1.79, 24.80,-0.20381, 0.06498, -0.02273, -0.97659,35.49344,
14.76, 1.79, 24.80,-0.20225, 0.05021, -0.02391, -0.97775,35.83764,
14.76, 1.79, 24.80,-0.20490, 0.02840, -0.02710, -0.97800,36.18211,
14.77, 1.79, 24.81,-0.20597, 0.00579, -0.02191, -0.97830,36.5265,
14.77, 1.79, 24.81,-0.20630, -0.00574, -0.02108, -0.97824,36.87075,
14.78, 1.79, 24.81,-0.20964, -0.02296, -0.02206, -0.97726,37.21498,
14.81, 1.80, 24.81,-0.19042, -0.15637, -0.01926, -0.96898,37.55801,
14.84, 1.79, 24.79,-0.19853, -0.27808, 0.00479, -0.93981,37.90246,
14.85, 1.79, 24.79,-0.19910, -0.28905, 0.00751, -0.93635,38.24662,
14.84, 1.79, 24.78,-0.19998, -0.28880, 0.00567, -0.93625,38.59084,
14.85, 1.79, 24.78,-0.20152, -0.29414, 0.00995, -0.93422,38.93499,
14.85, 1.79, 24.78,-0.19958, -0.29189, 0.00942, -0.93535,39.27951,
14.84, 1.79, 24.79,-0.20091, -0.28181, 0.00704, -0.93817,39.62388,
14.84, 1.79, 24.79,-0.20122, -0.27833, 0.00466, -0.93916,39.96812,
14.84, 1.79, 24.79,-0.20025, -0.27600, 0.00509, -0.94005,40.31223,
14.84, 1.79, 24.79,-0.19912, -0.27287, 0.00439, -0.94121,40.65639,
14.84, 1.79, 24.79,-0.19943, -0.27164, 0.00519, -0.94150,41.00084,
14.84, 1.80, 24.79,-0.19890, -0.26960, 0.00627, -0.94219,41.34517,
14.84, 1.79, 24.79,-0.20007, -0.26791, 0.00682, -0.94242,41.68969,
14.84, 1.80, 24.79,-0.19854, -0.26813, 0.00638, -0.94268,42.03372,
14.84, 1.79, 24.79,-0.19978, -0.26620, 0.00578, -0.94297,42.37795,
14.84, 1.80, 24.79,-0.19871, -0.26177, 0.00299, -0.94445,42.72245,
14.84, 1.80, 24.79,-0.19951, -0.25960, 0.00234, -0.94488,43.06445,
14.84, 1.80, 24.79,-0.19384, -0.24927, 0.00152, -0.94884,43.41014,
14.79, 1.82, 24.80,-0.13021, -0.04081, -0.00453, -0.99064,43.75551,
14.76, 1.82, 24.79,-0.12379, 0.03851, -0.03238, -0.99103,44.10059,
