PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.12, 1.84, 24.88,0.07419, 0.92282, -0.17854, 0.33319,18.66637,
15.18, 1.82, 24.87,0.08232, 0.88424, -0.23703, 0.39390,19.01072,
15.29, 1.83, 24.87,0.09434, 0.91693, -0.19994, 0.33220,19.35878,
15.39, 1.83, 24.77,0.08420, 0.94509, -0.16283, 0.27056,19.70499,
15.52, 1.83, 24.57,0.09921, 0.93744, -0.13710, 0.30424,20.04537,
15.68, 1.84, 24.38,0.09992, 0.90986, -0.14385, 0.37613,20.39092,
15.95, 1.81, 24.16,0.10944, 0.92296, -0.12421, 0.34748,20.7318,
16.17, 1.85, 23.95,0.07399, 0.96326, -0.12606, 0.22531,21.0789,
16.36, 1.82, 23.67,0.03329, 0.98711, -0.09146, 0.12703,21.42353,
16.54, 1.84, 23.36,0.01312, 0.99112, -0.12708, 0.03691,21.88522,
16.67, 1.84, 23.06,0.01419, 0.99032, -0.13046, -0.04527,22.24098,
16.67, 1.83, 22.74,0.00132, 0.99115, -0.09395, -0.09376,22.61934,
16.63, 1.85, 22.45,-0.01026, 0.99118, -0.07683, -0.10747,22.96264,
16.63, 1.82, 22.13,-0.02342, 0.96086, -0.09130, -0.26052,23.31182,
16.56, 1.84, 21.88,-0.05362, 0.84277, -0.10129, -0.52594,23.77309,
16.33, 1.81, 21.67,-0.09173, 0.74242, -0.09928, -0.65616,24.139,
16.16, 1.83, 21.62,-0.13403, 0.59689, -0.08299, -0.78669,24.48991,
15.97, 1.83, 21.61,-0.13605, 0.34187, -0.06574, -0.92752,24.83387,
15.84, 1.83, 21.68,-0.15124, 0.15000, -0.03048, -0.97657,25.17591,
15.79, 1.81, 21.90,-0.17370, 0.08897, 0.00009, -0.98077,25.52284,
15.77, 1.84, 22.15,-0.16034, 0.06504, 0.00720, -0.98489,25.86629,
15.68, 1.81, 22.44,-0.13549, 0.08075, -0.02560, -0.98715,26.21049,
15.56, 1.84, 22.73,-0.12484, 0.15166, -0.06789, -0.97817,26.55469,
15.48, 1.82, 23.02,-0.10603, 0.32241, -0.07683, -0.93750,26.89961,
15.34, 1.85, 23.23,-0.10586, 0.58787, -0.11922, -0.79309,27.24375,
15.11, 1.83, 23.27,-0.05626, 0.79607, -0.11611, -0.59130,27.58772,
14.89, 1.85, 23.27,-0.01867, 0.84921, -0.10390, -0.51740,27.93672,
14.60, 1.85, 23.26,-0.02600, 0.85718, -0.07956, -0.50816,28.29236,
14.37, 1.85, 23.11,-0.02163, 0.86119, -0.11437, -0.49478,28.63799,
14.17, 1.82, 22.81,-0.06340, 0.81510, -0.16929, -0.55039,28.98296,
13.97, 1.84, 22.64,-0.08786, 0.78802, -0.11299, -0.59878,29.32885,
13.76, 1.86, 22.55,-0.05982, 0.79333, -0.05936, -0.60293,29.68311,
13.66, 1.87, 22.44,-0.07180, 0.74829, -0.07456, -0.65524,30.05001,
13.63, 1.83, 22.17,-0.13709, 0.66961, -0.13038, -0.71822,30.58301,
13.65, 1.83, 22.09,-0.16828, 0.68407, -0.17397, -0.68808,31.02542,
13.66, 1.83, 22.11,-0.15498, 0.69375, -0.17768, -0.68053,31.36806,
13.66, 1.83, 22.12,-0.15460, 0.70191, -0.17542, -0.67279,31.71859,
13.66, 1.84, 22.13,-0.13966, 0.71307, -0.16349, -0.66731,32.05898,
13.65, 1.84, 22.13,-0.14005, 0.70931, -0.15659, -0.67286,32.40259,
13.64, 1.84, 22.13,-0.14392, 0.70311, -0.15308, -0.67933,32.74987,
13.64, 1.84, 22.12,-0.13624, 0.70324, -0.14960, -0.68155,33.09197,
13.63, 1.84, 22.12,-0.12883, 0.70947, -0.14978, -0.67648,33.46122,
13.62, 1.82, 22.12,-0.16936, 0.69793, -0.19608, -0.66766,33.80647,
13.62, 1.84, 22.12,-0.11674, 0.71552, -0.15690, -0.67066,34.37616,
13.63, 1.85, 22.14,-0.09894, 0.72373, -0.10625, -0.67464,35.0916,
13.63, 1.85, 22.14,-0.11329, 0.71294, -0.11602, -0.68222,35.44343,
13.64, 1.85, 22.18,-0.08667, 0.54624, -0.11686, -0.82490,35.79419,
13.64, 1.85, 22.19,-0.10903, 0.55175, -0.10719, -0.81987,36.13466,
13.64, 1.84, 22.17,-0.10496, 0.61578, -0.13234, -0.76960,36.50237,
13.63, 1.83, 22.13,-0.14233, 0.72143, -0.14651, -0.66168,36.84735,
