PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
14.45, 1.82, 24.93,-0.00852, 0.95449, -0.24160, -0.17468,29.43826,
14.53, 1.81, 24.87,-0.00900, 0.95202, -0.25576, -0.16781,29.78556,
14.53, 1.81, 24.78,-0.03354, 0.93882, -0.23334, -0.25110,30.12972,
14.49, 1.82, 24.61,-0.02841, 0.93334, -0.10054, -0.34345,30.4738,
14.41, 1.85, 24.42,-0.01871, 0.92320, -0.07906, -0.37563,30.8183,
14.30, 1.85, 24.24,0.00524, 0.90979, -0.08360, -0.40653,31.15796,
14.11, 1.85, 23.96,0.00270, 0.86272, -0.11757, -0.49182,31.50265,
13.78, 1.84, 23.73,-0.05820, 0.78513, -0.07096, -0.61249,31.99061,
13.53, 1.86, 23.59,-0.07338, 0.76596, -0.09890, -0.63098,32.33802,
13.32, 1.85, 23.47,-0.07062, 0.71656, -0.08847, -0.68828,32.68579,
13.08, 1.86, 23.35,-0.06573, 0.64662, -0.09927, -0.75347,33.02409,
12.83, 1.85, 23.34,-0.10158, 0.59454, -0.08570, -0.79301,33.37051,
12.54, 1.86, 23.39,-0.10839, 0.60483, -0.04350, -0.78775,33.71551,
12.27, 1.86, 23.40,-0.07644, 0.56629, -0.06215, -0.81830,34.06092,
11.96, 1.88, 23.41,-0.05272, 0.32077, -0.05674, -0.94399,34.40364,
11.79, 1.87, 23.54,-0.10273, 0.10930, -0.03201, -0.98817,34.7478,
11.70, 1.86, 23.79,-0.10765, 0.01918, 0.02689, -0.99364,35.0937,
11.69, 1.87, 23.96,-0.09931, -0.21954, 0.03834, -0.96978,35.43688,
11.68, 1.88, 24.16,-0.09546, -0.46815, 0.04630, -0.87726,35.78164,
11.75, 1.88, 24.28,-0.08531, -0.59830, 0.09229, -0.79135,36.12592,
11.95, 1.86, 24.31,-0.07634, -0.61805, 0.10251, -0.77568,36.46827,
12.21, 1.87, 24.31,-0.08604, -0.56941, 0.07234, -0.81434,36.81427,
12.47, 1.84, 24.41,-0.11015, -0.52802, 0.05883, -0.84000,37.15915,
12.76, 1.87, 24.56,-0.13161, -0.49995, 0.05149, -0.85444,37.50267,
12.98, 1.85, 24.69,-0.13176, -0.42222, 0.03822, -0.89605,37.84679,
13.17, 1.88, 24.85,-0.11021, -0.23095, -0.00010, -0.96670,38.19172,
13.16, 1.86, 25.08,-0.11967, 0.03219, -0.06743, -0.99000,38.53553,
13.13, 1.87, 25.29,-0.11780, 0.19690, -0.05671, -0.97167,38.87739,
13.11, 1.84, 25.55,-0.14878, 0.24397, -0.04909, -0.95705,39.22349,
13.04, 1.84, 25.79,-0.21708, 0.22729, -0.07160, -0.94662,39.56926,
12.82, 1.82, 25.97,-0.18717, 0.16619, -0.07685, -0.96511,39.90948,
12.61, 1.86, 26.13,-0.17867, 0.12155, -0.03476, -0.97575,40.28457,
12.46, 1.84, 26.31,-0.15580, 0.12045, -0.01589, -0.98029,40.66549,
12.31, 1.88, 26.39,-0.11339, 0.08930, -0.01456, -0.98942,41.00997,
12.12, 1.88, 26.39,-0.10088, -0.02706, -0.01751, -0.99438,41.3675,
12.06, 1.86, 26.38,-0.18331, -0.00121, -0.01375, -0.98296,41.71843,
12.09, 1.86, 26.37,-0.18499, 0.04021, -0.01012, -0.98187,42.06214,
12.12, 1.86, 26.36,-0.18338, 0.04945, 0.00208, -0.98179,42.41008,
12.13, 1.86, 26.35,-0.18486, 0.02552, -0.00050, -0.98243,42.75612,
12.13, 1.87, 26.35,-0.14609, 0.01509, 0.00354, -0.98915,43.09954,
12.13, 1.86, 26.37,-0.17141, 0.01114, 0.00566, -0.98512,43.44368,
12.13, 1.85, 26.38,-0.21443, 0.04045, 0.05074, -0.97458,43.78894,
12.13, 1.85, 26.38,-0.21560, 0.03024, 0.01982, -0.97581,44.13103,
12.12, 1.85, 26.38,-0.21063, 0.03838, -0.00950, -0.97677,44.47441,
12.12, 1.85, 26.37,-0.20321, 0.03880, -0.00957, -0.97832,44.82211,
