PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.13, 1.82, 28.64,0.06398, 0.28845, 0.07632, -0.95230,8.442214,
15.15, 1.82, 28.65,0.08118, 0.30347, 0.06091, -0.94742,8.791224,
15.18, 1.81, 28.66,0.05296, 0.29469, 0.07681, -0.95103,9.135123,
15.19, 1.80, 28.68,0.03178, 0.28007, 0.08348, -0.95581,9.479674,
15.19, 1.80, 28.67,0.00841, 0.37454, 0.06271, -0.92505,9.823799,
15.08, 1.79, 28.69,0.00504, 0.41502, 0.07421, -0.90677,10.16828,
14.81, 1.76, 28.70,-0.00317, 0.38368, 0.06659, -0.92106,10.51279,
14.63, 1.77, 28.67,-0.01556, 0.34000, 0.05116, -0.93890,10.85688,
14.55, 1.78, 28.62,-0.00919, 0.35289, 0.03284, -0.93504,11.20195,
14.48, 1.75, 28.70,-0.05239, 0.36265, 0.03635, -0.92974,11.54299,
14.32, 1.68, 28.91,-0.11000, 0.32444, 0.02990, -0.93901,11.88959,
14.16, 1.63, 29.07,-0.11394, 0.30219, 0.04253, -0.94546,12.23406,
14.12, 1.62, 29.06,-0.09682, 0.23354, 0.05248, -0.96609,12.57886,
14.11, 1.71, 28.75,-0.02744, 0.17874, 0.01674, -0.98337,12.92223,
14.14, 1.76, 28.40,-0.00323, 0.07042, -0.00133, -0.99751,13.26632,
14.22, 1.74, 27.98,0.00633, 0.02281, 0.01991, -0.99952,13.6125,
14.22, 1.79, 27.55,0.06065, -0.05914, 0.03795, -0.99568,13.96361,
14.13, 1.80, 27.17,-0.00639, -0.04389, 0.01078, -0.99896,14.31062,
14.12, 1.72, 26.74,-0.15278, 0.02949, 0.00873, -0.98778,14.6556,
14.11, 1.72, 26.38,-0.28671, -0.03453, -0.00491, -0.95738,14.9995,
14.03, 1.70, 26.08,-0.30359, -0.08984, 0.02688, -0.94818,15.34381,
14.00, 1.72, 25.83,-0.31959, 0.01261, 0.01725, -0.94731,15.68606,
14.14, 1.69, 25.56,-0.33572, -0.11784, 0.09180, -0.93004,16.03102,
14.29, 1.70, 25.18,-0.22063, -0.78779, 0.22182, -0.53057,16.3753,
14.35, 1.67, 25.00,-0.23556, -0.74361, 0.29792, -0.55027,16.71982,
14.45, 1.67, 24.86,-0.34126, -0.60535, 0.26028, -0.67034,17.06464,
14.62, 1.67, 24.84,-0.19252, -0.62322, 0.06758, -0.75496,17.40943,
14.82, 1.68, 24.93,-0.12871, -0.58446, 0.00092, -0.80115,17.75324,
14.99, 1.68, 25.03,-0.14477, -0.48599, -0.02636, -0.86149,18.0977,
15.03, 1.67, 25.09,-0.14663, -0.29873, -0.04149, -0.94209,18.44216,
