PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.61, 1.43, 23.67,0.43685, -0.04725, -0.05999, -0.89629,25.04529,
15.58, 1.41, 23.49,0.41700, -0.10277, -0.08443, -0.89912,25.39398,
15.59, 1.43, 23.39,0.43775, -0.10415, -0.10105, -0.88731,25.74016,
15.60, 1.42, 23.40,0.44140, -0.10888, -0.09253, -0.88586,26.08306,
15.58, 1.43, 23.59,0.43535, -0.15137, -0.11402, -0.88009,26.42698,
15.55, 1.43, 23.75,0.41360, -0.16435, -0.13823, -0.88477,26.77154,
15.57, 1.41, 23.91,0.39896, -0.14093, -0.13617, -0.89578,27.11612,
15.62, 1.44, 24.09,0.41354, -0.11886, -0.13075, -0.89317,27.46621,
15.63, 1.45, 24.21,0.40195, -0.12725, -0.12173, -0.89857,27.81357,
15.63, 1.46, 24.33,0.42005, -0.18124, -0.13132, -0.87947,28.16004,
15.66, 1.46, 24.39,0.40863, -0.22563, -0.16532, -0.86878,28.50462,
15.79, 1.46, 24.38,0.40444, -0.31450, -0.20387, -0.83424,28.84882,
15.97, 1.46, 24.34,0.39007, -0.29753, -0.24067, -0.83749,29.18965,
15.86, 1.45, 24.35,0.38859, -0.28330, -0.19361, -0.85513,29.53417,
15.74, 1.44, 24.33,0.38560, -0.22059, -0.16513, -0.88056,29.89805,
15.72, 1.43, 24.29,0.37746, -0.14407, -0.13669, -0.90448,30.24245,
15.78, 1.39, 24.24,0.29078, -0.18122, -0.17706, -0.92264,30.59093,
15.93, 1.40, 24.22,0.25631, -0.44664, -0.23983, -0.82298,30.93647,
16.03, 1.40, 24.11,0.18121, -0.67472, -0.28352, -0.65691,31.28059,
16.08, 1.39, 23.91,0.10866, -0.79987, -0.30864, -0.50313,31.62498,
16.09, 1.40, 23.87,0.12281, -0.77575, -0.32322, -0.52788,31.96381,
16.06, 1.39, 24.00,0.15080, -0.66824, -0.27062, -0.67637,32.30975,
16.01, 1.36, 24.15,0.14354, -0.56515, -0.22039, -0.78194,32.65651,
15.92, 1.32, 24.26,0.10168, -0.43147, -0.19378, -0.87518,33.04215,
15.88, 1.31, 24.31,0.10451, -0.36656, -0.18637, -0.90553,33.40671,
15.88, 1.34, 24.33,0.15618, -0.31880, -0.17815, -0.91773,33.75363,
15.88, 1.35, 24.32,0.07732, -0.29659, -0.09828, -0.94678,34.1006,
15.86, 1.38, 24.35,0.07271, -0.29512, -0.03185, -0.95216,34.44484,
15.85, 1.44, 24.37,-0.04440, -0.26876, -0.03446, -0.96157,34.78914,
15.85, 1.43, 24.38,-0.04557, -0.26891, -0.02421, -0.96178,35.13514,
15.84, 1.42, 24.37,-0.04132, -0.23092, -0.01128, -0.97203,35.49047,
