PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.51, 1.67, 20.63,-0.04600, 0.95988, 0.10445, 0.25615,11.08631,
15.54, 1.70, 20.81,0.04009, 0.97943, 0.09564, 0.17312,11.42883,
15.61, 1.71, 21.00,0.05202, 0.99438, 0.03003, 0.08717,11.78283,
15.64, 1.70, 21.14,0.07582, 0.99361, -0.03616, 0.07536,12.12699,
15.59, 1.66, 21.32,0.09570, 0.98219, -0.12683, 0.10029,12.47317,
15.55, 1.65, 21.49,0.08629, 0.96148, -0.24498, 0.09002,12.81785,
15.61, 1.66, 21.56,0.10295, 0.95490, -0.25497, 0.11203,13.16246,
15.74, 1.63, 21.59,0.13608, 0.90918, -0.33927, 0.19943,13.50643,
15.83, 1.65, 21.69,0.20478, 0.81191, -0.23597, 0.49313,13.85132,
15.83, 1.65, 21.79,-0.23796, -0.56052, 0.15749, -0.77743,14.19074,
15.88, 1.66, 21.84,-0.23032, -0.53101, 0.08390, -0.81114,14.5456,
16.02, 1.70, 21.82,-0.14404, -0.67846, 0.05553, -0.71824,14.90088,
16.27, 1.66, 21.74,-0.10986, -0.66863, 0.05358, -0.73348,15.25592,
16.54, 1.70, 21.64,-0.11281, -0.65821, 0.04571, -0.74293,15.61404,
16.77, 1.68, 21.62,-0.13380, -0.70243, 0.06302, -0.69622,15.96624,
16.92, 1.69, 21.63,-0.14864, -0.69860, 0.08269, -0.69500,16.31087,
17.07, 1.67, 21.60,-0.17399, -0.66818, 0.09939, -0.71651,16.67959,
17.21, 1.68, 21.55,-0.16095, -0.61993, 0.06203, -0.76547,17.0226,
17.31, 1.68, 21.61,-0.18785, -0.49160, 0.04925, -0.84889,17.37705,
17.38, 1.66, 21.82,-0.19499, -0.35761, 0.01556, -0.91315,17.73371,
17.44, 1.68, 22.12,-0.16775, -0.32130, -0.02641, -0.93163,18.08968,
17.56, 1.70, 22.38,0.02264, -0.27176, -0.13021, -0.95325,18.44352,
17.78, 1.67, 22.60,-0.18791, -0.34349, 0.03442, -0.91952,18.78798,
17.97, 1.66, 22.87,-0.17864, -0.30612, 0.02975, -0.93461,19.14318,
18.13, 1.67, 23.17,-0.17851, -0.24571, -0.01450, -0.95266,19.50978,
18.28, 1.65, 23.43,-0.15812, -0.15371, -0.03561, -0.97473,19.86449,
18.35, 1.69, 23.68,-0.14409, -0.09121, -0.08545, -0.98164,20.21441,
18.36, 1.66, 23.89,-0.20867, -0.26760, -0.07777, -0.93744,20.55417,
18.38, 1.66, 23.98,-0.22627, -0.65561, 0.04055, -0.71926,20.90302,
18.40, 1.64, 23.96,-0.22522, -0.78829, 0.16219, -0.54915,21.24784,
18.43, 1.62, 23.89,0.23409, 0.83737, -0.25708, 0.42180,21.59107,
18.44, 1.62, 23.82,0.23486, 0.87726, -0.24533, 0.33922,21.93465,
18.46, 1.63, 23.79,0.23146, 0.87308, -0.22202, 0.36724,22.27598,
18.46, 1.62, 23.76,0.23135, 0.88272, -0.22943, 0.33859,22.63033,
18.46, 1.63, 23.76,0.21624, 0.84868, -0.22939, 0.42470,22.99689,
18.46, 1.65, 23.92,-0.23917, -0.50458, 0.14976, -0.81595,23.33919,
18.35, 1.68, 24.08,-0.07727, -0.26108, -0.03217, -0.96168,23.68803,
18.23, 1.69, 24.21,-0.02099, -0.20270, -0.07512, -0.97613,24.04621,
18.17, 1.65, 24.36,-0.23271, -0.17030, -0.02156, -0.95728,24.39078,
18.18, 1.65, 24.62,-0.24606, -0.11487, -0.01176, -0.96235,24.73532,
18.17, 1.68, 24.86,-0.22131, -0.10324, -0.03145, -0.96921,25.08154,
18.10, 1.66, 25.13,-0.22157, -0.14126, -0.03637, -0.96417,25.43434,
18.07, 1.68, 25.33,-0.22160, -0.14297, -0.03240, -0.96406,25.78582,
18.11, 1.66, 25.57,-0.19505, -0.13327, -0.03395, -0.97110,26.12887,
18.18, 1.68, 25.84,-0.17677, -0.13903, -0.01384, -0.97429,26.48326,
18.21, 1.69, 26.15,0.00498, -0.10405, -0.07302, -0.99187,26.84567,
18.23, 1.69, 26.46,-0.17048, -0.05724, -0.07032, -0.98118,27.1965,
18.29, 1.64, 26.76,-0.23683, -0.03855, -0.02611, -0.97044,27.55037,
18.31, 1.67, 27.04,-0.24042, 0.01305, -0.05789, -0.96885,27.90906,
18.22, 1.65, 27.26,-0.21760, 0.01408, -0.08025, -0.97263,28.26399,
18.02, 1.69, 27.45,0.00824, 0.19565, -0.07000, -0.97814,28.60617,
17.79, 1.65, 27.58,-0.05714, 0.36816, -0.07559, -0.92492,28.96058,
17.54, 1.62, 27.75,-0.22135, 0.42033, -0.11647, -0.87222,29.30525,
17.23, 1.62, 27.90,-0.19829, 0.41509, -0.16238, -0.87293,29.6724,
16.91, 1.64, 28.03,-0.15835, 0.39600, -0.18060, -0.88628,30.01651,
16.73, 1.63, 28.22,-0.18715, 0.24717, -0.17714, -0.93408,30.37078,
16.60, 1.64, 28.38,-0.21157, 0.20618, -0.14415, -0.94443,30.72666,
16.44, 1.63, 28.42,-0.24225, 0.22343, -0.14632, -0.93273,31.084,
16.35, 1.61, 28.49,-0.26771, 0.40412, -0.15664, -0.86051,31.43639,
16.39, 1.62, 28.66,-0.24917, 0.49289, -0.14330, -0.82124,31.78233,
16.41, 1.62, 28.76,-0.26745, 0.51677, -0.12913, -0.80296,32.13764,
16.42, 1.62, 28.82,-0.25620, 0.44213, -0.13227, -0.84934,32.50397,
16.44, 1.62, 28.87,-0.25857, 0.37614, -0.12011, -0.88161,32.85884,
16.44, 1.61, 28.90,-0.26429, 0.34236, -0.12401, -0.89306,33.20355,
16.44, 1.60, 28.92,-0.27838, 0.31793, -0.12377, -0.89784,33.55887,
16.44, 1.59, 28.94,-0.28636, 0.30657, -0.11869, -0.89996,33.91619,
16.43, 1.59, 28.95,-0.29347, 0.30704, -0.11822, -0.89757,34.25838,
16.42, 1.61, 28.91,-0.25408, 0.37552, -0.12065, -0.88310,34.61354,
16.35, 1.62, 28.76,-0.19014, 0.55325, -0.21273, -0.78263,34.97136,
16.25, 1.63, 28.58,-0.11480, 0.66244, -0.24151, -0.69977,35.31562,
16.14, 1.63, 28.42,-0.10448, 0.68828, -0.24504, -0.67477,35.66236,
15.92, 1.61, 28.36,-0.10557, 0.67570, -0.24088, -0.68866,36.01106,
15.62, 1.63, 28.37,-0.11515, 0.69497, -0.19620, -0.68210,36.35695,
15.33, 1.63, 28.35,-0.08826, 0.65751, -0.17445, -0.72764,36.70719,
15.04, 1.64, 28.33,-0.08259, 0.60702, -0.17781, -0.77012,37.05094,
14.86, 1.65, 28.34,-0.10265, 0.60692, -0.17219, -0.76907,37.39531,
14.68, 1.63, 28.41,-0.09033, 0.64654, -0.15256, -0.74200,37.73561,
14.49, 1.66, 28.48,-0.09121, 0.64073, -0.14057, -0.74926,38.08897,
14.21, 1.63, 28.49,-0.06840, 0.64664, -0.15317, -0.74412,38.44395,
13.89, 1.66, 28.47,-0.04888, 0.65867, -0.15362, -0.73496,38.8078,
13.60, 1.63, 28.51,-0.03936, 0.68279, -0.13807, -0.71637,39.1565,
13.34, 1.65, 28.57,-0.08709, 0.66873, -0.14500, -0.72401,39.50114,
13.17, 1.65, 28.56,-0.05378, 0.66632, -0.15740, -0.72688,39.85616,
13.05, 1.63, 28.56,-0.07460, 0.63878, -0.19368, -0.74087,40.2114,
12.87, 1.62, 28.49,-0.08102, 0.67534, -0.21435, -0.70101,40.5679,
12.73, 1.62, 28.40,-0.06263, 0.67227, -0.22215, -0.70341,40.92158,
12.69, 1.64, 28.38,0.04332, 0.60500, -0.22880, -0.76141,41.26644,
12.66, 1.68, 28.36,0.16394, 0.59648, -0.17216, -0.76661,41.63494,
12.64, 1.68, 28.36,0.12873, 0.58672, -0.16130, -0.78305,41.97758,
12.69, 1.70, 28.30,0.17863, 0.34182, -0.19514, -0.90176,42.33316,
12.80, 1.73, 28.26,0.21899, 0.01562, -0.22319, -0.94973,42.68741,
12.89, 1.74, 28.19,0.23984, -0.05326, -0.19791, -0.94893,43.04219,
12.96, 1.74, 28.20,0.22027, -0.00804, -0.18656, -0.95740,43.39923,
12.98, 1.74, 28.20,0.21765, 0.04996, -0.15844, -0.96179,43.74223,
12.98, 1.74, 28.20,0.23957, 0.13941, -0.14326, -0.95008,44.09769,
12.97, 1.74, 28.21,0.25870, 0.19494, -0.13340, -0.93663,44.45569,
13.00, 1.75, 28.21,0.25872, 0.21207, -0.13244, -0.93303,44.79836,
13.01, 1.75, 28.20,0.24674, 0.17954, -0.14665, -0.94095,45.15294,
12.98, 1.74, 28.19,0.24857, 0.24286, -0.14110, -0.92700,45.50813,
12.99, 1.74, 28.20,0.23878, 0.23300, -0.12937, -0.93379,45.85233,
13.01, 1.74, 28.20,0.22863, 0.21409, -0.12961, -0.94080,46.22087,
12.97, 1.68, 28.24,-0.04229, 0.32496, -0.15337, -0.93225,46.56424,
12.87, 1.64, 28.14,-0.12348, 0.57915, -0.12994, -0.79527,46.91103,
12.69, 1.63, 28.00,-0.09462, 0.74515, -0.15251, -0.64230,47.25307,
12.59, 1.62, 27.89,-0.06671, 0.84891, -0.19509, -0.48666,47.60746,
12.45, 1.63, 27.79,-0.03338, 0.93192, -0.18570, -0.30971,47.97397,
12.34, 1.65, 27.63,0.00986, 0.96587, -0.16146, -0.20230,48.31976,
12.26, 1.62, 27.31,0.02826, 0.97311, -0.16742, -0.15565,48.67325,
12.17, 1.66, 27.05,0.02996, 0.97776, -0.15190, -0.14149,49.02974,
12.03, 1.63, 26.82,0.02663, 0.98660, -0.12004, -0.10727,49.37413,
11.95, 1.74, 26.54,0.07633, 0.97338, 0.21285, 0.03737,49.74194,
11.96, 1.73, 26.27,0.05762, 0.96885, 0.20689, 0.12331,50.08959,
11.94, 1.75, 26.13,0.03073, 0.96183, 0.22652, 0.15041,50.43393,
11.92, 1.75, 26.08,0.03091, 0.96037, 0.22273, 0.16470,50.7783,
11.89, 1.76, 26.10,0.04037, 0.95228, 0.24923, 0.17151,51.12262,
11.89, 1.75, 26.12,0.02355, 0.95167, 0.23414, 0.19734,51.46704,
11.89, 1.74, 26.11,0.00970, 0.95458, 0.21097, 0.21017,51.81091,
11.90, 1.74, 26.10,0.00854, 0.95798, 0.19048, 0.21429,52.15528,
11.92, 1.73, 26.08,0.01536, 0.95928, 0.17423, 0.22181,52.49934,
11.95, 1.73, 26.04,0.00977, 0.96075, 0.16851, 0.22016,52.84371,
11.99, 1.72, 25.98,0.00160, 0.96155, 0.16672, 0.21821,53.18829,
12.00, 1.71, 25.84,0.00083, 0.96301, 0.14879, 0.22467,53.53272,
11.93, 1.67, 25.63,-0.00829, 0.98154, -0.10271, 0.16110,53.87658,
11.87, 1.65, 25.45,0.00223, 0.98197, -0.17987, 0.05811,54.22057,
11.89, 1.62, 25.18,0.01545, 0.98075, -0.19240, -0.02956,54.56536,
11.90, 1.67, 24.92,0.04318, 0.98148, -0.16424, -0.08867,54.9095,
11.86, 1.64, 24.67,0.02585, 0.98724, -0.12162, -0.09951,55.25023,
11.82, 1.68, 24.40,0.01587, 0.98979, -0.11458, -0.08334,55.59141,
11.83, 1.65, 24.04,0.04431, 0.98989, -0.09877, -0.09163,55.94769,
11.82, 1.69, 23.74,0.02783, 0.98433, -0.10529, -0.13868,56.30389,
11.76, 1.66, 23.47,0.02198, 0.99011, -0.09614, -0.09974,56.65791,
11.74, 1.69, 23.25,0.03453, 0.99298, -0.09119, -0.06699,57.00343,
11.78, 1.66, 23.01,0.04153, 0.98871, -0.13001, -0.06183,57.37213,
11.83, 1.66, 22.83,0.02923, 0.97929, -0.18049, -0.08699,57.71414,
11.91, 1.73, 22.72,0.08422, 0.97617, 0.14600, 0.13667,58.06808,
12.00, 1.73, 22.67,0.04950, 0.94504, 0.13625, 0.29306,58.42776,
12.17, 1.68, 22.58,0.08477, 0.95992, -0.10598, 0.24524,58.76998,
12.25, 1.65, 22.41,0.06458, 0.97224, -0.18907, 0.12176,59.12405,
12.31, 1.64, 22.13,0.04005, 0.97168, -0.22201, 0.07029,59.46872,
12.39, 1.65, 21.86,0.04535, 0.97090, -0.23508, 0.00604,59.83608,
12.50, 1.67, 21.57,0.07069, 0.99481, -0.07313, -0.00218,60.17934,
12.53, 1.68, 21.38,0.05862, 0.99747, -0.02513, 0.03125,60.54462,
12.56, 1.70, 21.22,0.00809, 0.95777, 0.03729, 0.28498,60.88952,
12.67, 1.71, 21.25,0.03068, -0.78071, -0.09570, -0.61676,61.24683,
12.84, 1.72, 21.39,0.07747, -0.66775, -0.14701, -0.72560,61.60071,
12.98, 1.72, 21.48,0.04656, -0.64975, -0.11579, -0.74983,61.94484,
13.13, 1.70, 21.40,0.05812, -0.64773, -0.07304, -0.75613,62.31325,
13.36, 1.70, 21.29,0.03527, -0.70150, -0.05767, -0.70945,62.65617,
13.52, 1.66, 21.27,-0.15167, -0.75247, 0.14986, -0.62316,63.00135,
13.79, 1.63, 21.38,-0.19694, -0.68571, 0.11482, -0.69125,63.34903,
14.05, 1.66, 21.45,-0.20096, -0.68258, 0.11423, -0.69329,63.69395,
14.39, 1.64, 21.46,-0.17787, -0.69419, 0.11053, -0.68865,64.03767,
14.71, 1.68, 21.49,-0.17094, -0.68736, 0.10297, -0.69836,64.38263,
15.03, 1.64, 21.58,-0.17251, -0.71446, 0.10412, -0.67004,64.72606,
15.22, 1.67, 21.63,-0.19210, -0.71343, 0.11391, -0.66418,65.07601,
15.42, 1.65, 21.65,-0.20069, -0.70897, 0.11424, -0.66636,65.4202,
15.70, 1.65, 21.64,-0.16664, -0.69882, 0.12441, -0.68440,65.77551,
15.98, 1.67, 21.65,-0.15444, -0.71231, 0.09710, -0.67774,66.13029,
16.32, 1.66, 21.70,-0.16339, -0.74154, 0.07894, -0.64590,66.49048,
16.59, 1.67, 21.69,-0.15371, -0.72892, 0.09263, -0.66066,66.83133,
16.85, 1.67, 21.64,-0.14953, -0.68675, 0.10129, -0.70410,67.18631,
17.03, 1.67, 21.64,-0.16234, -0.68631, 0.10309, -0.70142,67.54726,
17.20, 1.66, 21.68,-0.17812, -0.68882, 0.09242, -0.69661,67.88696,
17.39, 1.66, 21.75,-0.17562, -0.67856, 0.08932, -0.70762,68.24171,
17.59, 1.65, 21.82,-0.19784, -0.60356, 0.07090, -0.76912,68.60821,
17.78, 1.67, 21.86,-0.18151, -0.50274, 0.07029, -0.84224,68.95525,
17.94, 1.70, 22.00,-0.06476, -0.40177, -0.05049, -0.91205,69.30891,
18.06, 1.70, 22.18,0.02205, -0.40271, -0.10549, -0.90896,69.66343,
18.18, 1.67, 22.31,-0.21976, -0.44931, 0.04184, -0.86491,70.0228,
18.37, 1.63, 22.42,-0.24772, -0.40499, 0.06873, -0.87744,70.36292,
18.47, 1.66, 22.54,-0.26533, -0.15801, 0.01076, -0.95106,70.71865,
