PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.04, 1.48, 24.91,0.11737, -0.79510, -0.25837, -0.53599,8.785599,
15.06, 1.48, 24.79,-0.07984, 0.85121, 0.22310, 0.46828,9.129619,
15.04, 1.48, 24.68,-0.11385, 0.86567, 0.19345, 0.44747,9.473483,
14.93, 1.47, 24.59,-0.07574, 0.92144, 0.22552, 0.30716,9.817685,
14.84, 1.44, 24.51,0.04703, 0.94169, 0.25244, 0.21744,10.16206,
14.82, 1.41, 24.46,0.02108, 0.92643, 0.18986, 0.32441,10.50634,
14.74, 1.42, 24.50,0.00004, -0.71243, -0.10371, -0.69404,10.85064,
14.61, 1.37, 24.53,-0.13003, -0.52036, -0.03745, -0.84316,11.19527,
14.54, 1.33, 24.58,-0.18016, -0.46487, -0.03678, -0.86607,11.53983,
14.45, 1.33, 24.57,-0.20365, -0.25872, -0.02348, -0.94395,11.88407,
14.40, 1.34, 24.55,-0.16404, -0.04671, -0.04426, -0.98435,12.22802,
14.43, 1.35, 24.54,-0.13643, -0.00948, -0.03198, -0.99009,12.57254,
14.48, 1.37, 24.63,-0.08170, -0.21429, -0.01107, -0.97329,12.91722,
14.55, 1.38, 24.66,-0.04956, -0.33183, -0.01016, -0.94198,13.26081,
14.56, 1.39, 24.67,-0.04470, -0.37421, -0.01343, -0.92617,13.60521,
14.57, 1.38, 24.67,-0.04957, -0.39377, -0.02010, -0.91765,13.94957,
14.56, 1.38, 24.66,-0.05296, -0.37898, -0.02607, -0.92352,14.29395,
14.56, 1.37, 24.66,-0.05428, -0.38604, -0.04171, -0.91994,14.63785,
14.57, 1.37, 24.67,-0.05647, -0.39825, -0.03991, -0.91467,14.98188,
14.57, 1.37, 24.67,-0.05860, -0.40533, -0.04659, -0.91110,15.32649,
14.57, 1.36, 24.68,-0.05290, -0.41522, -0.04968, -0.90682,15.67001,
14.58, 1.36, 24.68,-0.05569, -0.43274, -0.04989, -0.89841,16.01414,
14.59, 1.36, 24.68,-0.06199, -0.43933, -0.05756, -0.89434,16.35823,
14.59, 1.35, 24.68,-0.06499, -0.44682, -0.06288, -0.89004,16.7063,
14.60, 1.35, 24.68,-0.06892, -0.45772, -0.06430, -0.88409,17.05101,
14.61, 1.35, 24.69,-0.07153, -0.48562, -0.06808, -0.86858,17.40332,
14.63, 1.34, 24.69,-0.07548, -0.50333, -0.07105, -0.85785,17.74774,
14.63, 1.34, 24.69,-0.08055, -0.51429, -0.07228, -0.85076,18.09201,
14.68, 1.34, 24.70,-0.06675, -0.58459, -0.07237, -0.80533,18.43691,
14.80, 1.37, 24.68,-0.02369, -0.67967, -0.05253, -0.73125,18.78037,
14.84, 1.38, 24.63,-0.01352, -0.71584, -0.05296, -0.69613,19.1249,
14.81, 1.37, 24.67,-0.02262, -0.71252, -0.05640, -0.69902,19.46938,
14.79, 1.36, 24.76,0.01420, -0.61363, -0.08294, -0.78510,19.81292,
14.82, 1.35, 24.96,0.15630, -0.36214, 0.01819, -0.91875,20.15693,
14.91, 1.38, 25.03,0.19041, -0.43941, -0.02397, -0.87755,20.50164,
14.90, 1.38, 25.01,0.14319, -0.48285, -0.00489, -0.86390,20.84589,
14.83, 1.33, 25.00,0.07197, -0.47622, 0.01607, -0.87623,21.19092,
14.81, 1.33, 25.01,0.09432, -0.44816, 0.00124, -0.88896,21.53515,
14.82, 1.34, 25.00,0.10992, -0.46681, -0.01680, -0.87734,21.8789,
14.82, 1.34, 25.00,0.11340, -0.47600, -0.02273, -0.87181,22.2233,
14.82, 1.34, 25.01,0.11493, -0.47858, -0.02448, -0.87015,22.56754,
14.82, 1.34, 25.03,0.12203, -0.49475, -0.02551, -0.86005,22.91202,
14.90, 1.31, 25.07,0.07713, -0.65919, -0.20721, -0.71874,23.25517,
14.96, 1.21, 25.26,0.04569, -0.75812, -0.29964, -0.57739,23.61822,
14.96, 1.08, 25.52,0.16859, -0.67898, -0.21038, -0.68287,23.96654,
14.97, 1.03, 25.60,0.17220, -0.76460, -0.25798, -0.56495,24.31515,
14.96, 1.02, 25.60,0.14713, -0.75435, -0.16790, -0.61734,24.65442,
14.98, 1.03, 25.59,0.14336, -0.75541, -0.18885, -0.61085,25.00007,
14.98, 1.02, 25.59,0.13871, -0.75662, -0.18455, -0.61174,25.34432,
14.98, 1.02, 25.59,0.13927, -0.75652, -0.18469, -0.61170,25.68719,
14.98, 1.03, 25.59,0.14012, -0.75595, -0.18538, -0.61200,26.03134,
14.98, 1.02, 25.59,0.14048, -0.75626, -0.18593, -0.61136,26.37589,
14.98, 1.03, 25.59,0.14027, -0.75655, -0.18657, -0.61086,26.72025,
14.98, 1.03, 25.59,0.14094, -0.75622, -0.18635, -0.61118,27.06508,
14.98, 1.02, 25.59,0.14093, -0.75640, -0.18620, -0.61100,27.40794,
14.98, 1.03, 25.59,0.14136, -0.75625, -0.18609, -0.61112,27.76057,
14.98, 1.02, 25.59,0.14113, -0.75616, -0.18601, -0.61131,28.09499,
14.98, 1.03, 25.59,0.14145, -0.75631, -0.18607, -0.61103,28.45223,
14.98, 1.03, 25.60,0.14109, -0.75645, -0.18622, -0.61090,28.79679,
14.98, 1.03, 25.60,0.14084, -0.75659, -0.18642, -0.61073,29.14091,
14.98, 1.03, 25.60,0.14059, -0.75678, -0.18663, -0.61048,29.4853,
14.98, 1.03, 25.60,0.14071, -0.75693, -0.18698, -0.61015,29.82925,
14.98, 1.03, 25.60,0.14083, -0.75693, -0.18686, -0.61016,30.17331,
14.98, 1.03, 25.60,0.14095, -0.75652, -0.18686, -0.61065,30.51814,
14.98, 1.03, 25.60,0.14080, -0.75677, -0.18706, -0.61031,30.86204,
14.98, 1.03, 25.60,0.14087, -0.75718, -0.18750, -0.60965,31.20656,
