PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.34, 1.53, 26.24,-0.13013, 0.05381, 0.02106, -0.98981,13.50715,
15.32, 1.56, 26.21,-0.04046, -0.01217, 0.02039, -0.99890,13.86312,
15.31, 1.57, 26.20,-0.00195, -0.21914, 0.00483, -0.97568,14.21297,
15.37, 1.55, 26.18,-0.03293, -0.46231, -0.00299, -0.88610,14.56896,
15.43, 1.56, 26.15,0.00909, -0.58699, 0.00379, -0.80953,14.92655,
15.42, 1.54, 26.20,-0.04710, -0.59398, 0.02633, -0.80267,15.27021,
15.30, 1.50, 26.36,-0.23758, -0.21167, 0.03861, -0.94724,15.61508,
15.21, 1.47, 26.45,-0.33144, 0.02132, 0.00090, -0.94323,15.95797,
15.23, 1.52, 26.48,-0.18109, 0.08474, -0.00251, -0.97981,16.31231,
15.28, 1.52, 26.46,-0.14260, 0.21444, 0.00842, -0.96624,16.71494,
15.19, 1.53, 26.39,-0.13261, 0.37867, 0.00184, -0.91598,17.05716,
14.97, 1.49, 26.19,-0.17267, 0.42552, -0.03600, -0.88759,17.40148,
14.79, 1.51, 26.10,-0.18160, 0.40937, -0.03957, -0.89324,17.75015,
14.74, 1.54, 26.17,-0.11157, 0.32238, 0.00444, -0.94000,18.09438,
14.75, 1.54, 26.30,-0.07731, 0.27781, 0.00521, -0.95751,18.43936,
14.80, 1.55, 26.17,-0.00651, 0.18874, 0.00350, -0.98200,18.7831,
14.81, 1.51, 25.89,-0.08611, 0.06759, -0.02296, -0.99372,19.12793,
14.87, 1.54, 25.60,-0.05717, 0.06343, -0.00927, -0.99630,19.47174,
14.98, 1.53, 25.32,-0.06293, 0.11336, 0.02615, -0.99121,19.81403,
15.01, 1.56, 25.06,-0.01427, 0.12115, 0.02056, -0.99232,20.16043,
14.93, 1.56, 24.80,0.01162, 0.17134, 0.01628, -0.98501,20.50448,
14.86, 1.57, 24.60,-0.00551, 0.25329, 0.00957, -0.96733,20.84867,
14.90, 1.57, 24.49,0.01152, 0.23419, -0.01517, -0.97200,21.19301,
15.01, 1.56, 24.47,-0.10681, 0.07168, 0.00470, -0.99168,21.53838,
15.09, 1.52, 24.45,-0.20146, 0.05207, 0.06869, -0.97570,21.88191,
15.06, 1.56, 24.37,-0.05120, -0.02783, 0.05757, -0.99664,22.22595,
14.98, 1.58, 24.30,0.03870, -0.03383, 0.02522, -0.99836,22.57037,
14.94, 1.59, 24.29,0.05078, -0.00874, 0.01276, -0.99859,22.91478,
14.91, 1.59, 24.27,0.04586, 0.11501, 0.02688, -0.99194,23.25937,
14.88, 1.58, 24.26,0.02852, 0.30843, 0.04515, -0.94975,23.60319,
14.88, 1.59, 24.26,0.02477, 0.40181, 0.05090, -0.91397,23.94676,
14.88, 1.58, 24.26,0.00751, 0.36461, 0.03113, -0.93061,24.29148,
14.91, 1.57, 24.28,-0.02646, 0.16583, 0.00600, -0.98578,24.63617,
14.95, 1.57, 24.29,-0.00886, -0.02027, 0.01000, -0.99971,24.98005,
14.98, 1.63, 24.29,0.12915, -0.10822, 0.01211, -0.98563,25.32401,
14.97, 1.64, 24.28,0.17673, -0.07989, 0.01263, -0.98093,25.66903,
14.97, 1.64, 24.29,0.17331, -0.03889, 0.02007, -0.98389,26.02894,
14.97, 1.64, 24.29,0.16960, -0.02710, 0.01743, -0.98499,26.3782,
14.99, 1.64, 24.31,0.15199, -0.01839, 0.01889, -0.98803,26.72341,
15.00, 1.63, 24.33,0.11908, 0.00233, 0.02786, -0.99249,27.06836,
