PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,13.78346,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,13.92124,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.05546,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.18418,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.32106,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.47015,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.61945,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.76334,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,14.92042,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.07281,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.23193,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.38647,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.53912,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.67665,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.81614,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,15.96329,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.09765,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.22478,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.35461,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.4856,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.63771,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.78347,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,16.94159,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.09098,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.23243,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.37758,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.50966,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.6418,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.79492,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,17.95251,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.09858,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.23099,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.35968,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.50591,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.64367,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.77329,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,18.90717,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.05038,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.17673,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.30367,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.43362,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.55897,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.68743,
15.01, 0.01, 25.02,0.00000, 0.00000, 0.00000, 1.00000,19.81797,
