PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.10, 1.77, 24.81,0.05273, 0.97999, -0.16760, 0.09350,
15.15, 1.76, 24.85,0.10508, 0.91412, -0.18799, 0.34352,
15.12, 1.77, 24.87,0.10713, 0.90549, -0.13822, 0.38666,
15.11, 1.79, 24.90,0.10016, 0.89640, -0.06449, 0.42695,
15.09, 1.78, 24.87,0.04755, 0.96473, -0.10380, 0.23721,
15.04, 1.78, 24.85,-0.00094, 0.97082, -0.14234, -0.19299,
15.00, 1.78, 24.90,-0.06291, 0.78084, -0.09869, -0.61367,
14.95, 1.78, 25.00,-0.08298, 0.58411, -0.03399, -0.80671,
14.91, 1.78, 25.09,-0.08440, 0.33840, -0.02124, -0.93697,
14.79, 1.79, 25.07,-0.06709, 0.31246, -0.06185, -0.94554,
14.71, 1.75, 25.04,-0.20490, 0.28681, -0.12047, -0.92803,
14.66, 1.72, 25.12,-0.31378, 0.26708, -0.12054, -0.90315,
14.62, 1.71, 25.30,-0.26889, 0.27547, -0.11124, -0.91621,
14.55, 1.75, 25.48,-0.19954, 0.33179, -0.11968, -0.91421,
14.36, 1.76, 25.64,-0.06901, 0.33970, -0.08247, -0.93437,
14.12, 1.80, 25.80,-0.04880, 0.27276, -0.09226, -0.95640,
13.92, 1.77, 26.02,-0.07516, 0.21278, -0.08393, -0.97058,
13.75, 1.77, 26.30,-0.11078, 0.14770, -0.04810, -0.98163,
13.57, 1.77, 26.54,-0.09923, 0.06069, -0.04150, -0.99235,
13.45, 1.79, 26.74,-0.09904, -0.03058, -0.01232, -0.99454,
13.44, 1.78, 26.93,-0.10550, -0.06222, 0.00507, -0.99246,
13.48, 1.78, 27.16,-0.13094, -0.03854, -0.00848, -0.99060,
13.46, 1.77, 27.44,-0.09486, -0.05717, -0.02418, -0.99355,
13.42, 1.78, 27.72,-0.09979, -0.14295, -0.03796, -0.98396,
13.47, 1.76, 27.97,-0.09706, -0.26871, -0.00810, -0.95828,
13.56, 1.77, 28.16,-0.12363, -0.42784, 0.01031, -0.89530,
13.63, 1.76, 28.32,-0.11785, -0.62695, 0.04734, -0.76864,
13.71, 1.76, 28.44,-0.13532, -0.77092, 0.09440, -0.61520,
13.83, 1.74, 28.41,0.11091, 0.88024, -0.14401, 0.43834,
14.00, 1.75, 28.31,0.07794, 0.90666, -0.13698, 0.39131,
14.13, 1.76, 28.19,0.06346, 0.94510, -0.13541, 0.29055,
14.28, 1.75, 28.02,0.05815, 0.97004, -0.16235, 0.17113,
14.35, 1.76, 27.82,0.03484, 0.98091, -0.15168, 0.11664,
14.34, 1.74, 27.56,0.03772, 0.97763, -0.14224, 0.15026,
14.38, 1.78, 27.33,0.06156, 0.93717, -0.11541, 0.32344,
14.54, 1.75, 27.09,-0.10321, -0.83953, 0.07353, -0.52833,
14.70, 1.78, 26.90,-0.10328, -0.75512, 0.05274, -0.64525,
14.88, 1.76, 26.72,-0.11454, -0.57798, 0.04629, -0.80665,
15.07, 1.78, 26.65,-0.13840, -0.44905, 0.02014, -0.88249,
15.27, 1.76, 26.73,-0.13573, -0.40641, 0.02003, -0.90333,
15.47, 1.77, 26.83,-0.11765, -0.46890, 0.03179, -0.87480,
15.70, 1.76, 26.94,-0.09989, -0.47698, 0.03031, -0.87269,
15.89, 1.78, 27.06,-0.11123, -0.46410, 0.03076, -0.87823,
16.08, 1.75, 27.25,-0.12125, -0.51421, 0.02973, -0.84853,
16.24, 1.77, 27.43,-0.12339, -0.55131, 0.03930, -0.82419,
16.44, 1.75, 27.51,-0.06334, -0.60488, 0.10264, -0.78713,
16.64, 1.75, 27.58,-0.11201, -0.60345, 0.09179, -0.78414,
16.81, 1.74, 27.68,-0.17862, -0.60125, 0.12152, -0.76931,
16.87, 1.73, 27.78,-0.20205, -0.61490, 0.13340, -0.75052,
16.84, 1.73, 27.80,-0.21848, -0.61627, 0.13531, -0.74443,
16.77, 1.74, 27.75,-0.21320, -0.59714, 0.12049, -0.76384,
16.63, 1.76, 27.78,-0.13404, -0.65815, 0.06948, -0.73760,
16.54, 1.74, 27.89,-0.19914, -0.64501, 0.09895, -0.73111,
16.46, 1.75, 27.87,-0.16297, -0.63100, 0.07709, -0.75455,
16.44, 1.77, 27.83,-0.09719, -0.62702, 0.04614, -0.77154,
16.45, 1.75, 27.80,-0.12904, -0.63684, 0.08950, -0.75484,
16.46, 1.74, 27.80,-0.17162, -0.62739, 0.11534, -0.75075,
